Haleluya! Pujilah Allah dalam tempat kudus-Nya! Pujilah Dia dalam cakrawala-Nya yang kuat!	Molja’agi PANGERAN! Molja’agi Pangeran e dhalem Padalemmanna! Molja’agi kakowadanna e bang-abang!
Diberkati-Nya mereka sehingga mereka bertambah banyak dengan sangat, dan hewan-hewan mereka tidak dibuat-Nya berkurang.	Bi’ Pangeran reng-oreng jareya epabannya’ ana’na, keban bu-obuwanna adhu’-budhu’ sajan bannya’.
Tetapi mereka menjadi berkurang dan membungkuk oleh sebab tekanan celaka dan duka.	Tape ommat jareya epakala sampe’ kare sakone’ lantaran sangsara ban etendhes ce’ kejjemma.
Ditumpahkan-Nya kehinaan ke atas orang-orang terkemuka, dan dibuat-Nya mereka mengembara di padang tandus yang tiada jalan;	Pangeran ya-nyeya reng-oreng se nendhes ommat jareya, epakon ajalan ta’ etemmo tojjuwanna e ra-ara se tadha’ jalanna.
tetapi orang miskin dibentengi-Nya terhadap penindasan, dan dibuat-Nya kaum-kaum mereka seperti kawanan domba banyaknya.	Tape oreng mesken bi’ Pangeran eangkes dhari kasossa’anna, la-balana sajan bannya’ akantha dumba.
Orang-orang benar melihatnya, lalu bersukacita, tetapi segala kecurangan tutup mulut.	Oreng jujur nangale’e jareya, perak atena, tape oreng jahat ta’ metto caca.
Siapa yang mempunyai hikmat? Biarlah ia berpegang pada semuanya ini, dan memperhatikan segala kemurahan TUHAN.	Moga oreng se bicaksana mekker parkara jareya kabbi ban ngakone kataresna’anna PANGERAN tadha’ obana.
Haleluya! Bersyukurlah kepada TUHAN, sebab Ia baik! Bahwasanya untuk selama-lamanya kasih setia-Nya.	Molja’agi PANGERAN! Mara asokkor ka PANGERAN, sabab Pangeran reya sae; kataresna’anna langgeng saterrossa.
Siapakah yang dapat memberitahukan keperkasaan TUHAN, memperdengarkan segala pujian kepada-Nya?	Sapa se bisa aberta’agi kakowadanna PANGERAN, ban amolja’agi Salerana sapantessa?
Berbahagialah orang-orang yang berpegang pada hukum, yang melakukan keadilan di segala waktu!	Pojur oreng se atoro’ ka kon-papakonna, sarta se ros-terrosan teppa’ tengka gulina.
Ingatlah aku, ya TUHAN, demi kemurahan terhadap umat-Mu, perhatikanlah aku, demi keselamatan dari pada-Mu,	Kaemodi abdidalem, GUSTE, lantaran kabecce’annepon Junandalem ka ommadda, abdidalem jugan nyo’ona tolong manabi Junandalem masalamet reng-oreng ka’dhissa’.
supaya aku melihat kebaikan pada orang-orang pilihan-Mu, supaya aku bersukacita dalam sukacita umat-Mu, dan supaya aku bermegah bersama-sama milik-Mu sendiri.	Moga abdidalem nengalana kama’moranna reng-oreng peleyannepon Junandalem tor anga-bunga asareng ommattepon Junandalem. Moga abdidalem noro’a perak tor gumbira asareng reng-oreng kaagungannepon Junandalem.
Kami dan nenek moyang kami telah berbuat dosa, kami telah bersalah, telah berbuat fasik.	Abdidalem sadaja padha dusa akadi para bangatowa; abdidalem sadaja ampon padha alako jahat sareng daraka.
Nenek moyang kami di Mesir tidak mengerti perbuatan-perbuatan-Mu yang ajaib, tidak ingat besarnya kasih setia-Mu, tetapi mereka memberontak terhadap Yang Mahatinggi di tepi Laut Teberau.	E bakto badha e Messer bangatowa abdidalem sadaja padha ta’ ngarte; padha tadha’ se pahama ka karyaepon Junandalem se makasambu’ ate. Reng-oreng gapaneka loppa ka kataresna’annepon Junandalem se tadha’ batessa, ban e seddi’anna Tase’ Galagas reng-oreng gapaneka aberonta’ ka Se Mahatenggi.
Namun diselamatkan-Nya mereka oleh karena nama-Nya, untuk memperkenalkan keperkasaan-Nya.	Tape PANGERAN masalamet reng-oreng jareya bit Salerana dibi’, sopaja kaparjuga’anna daddiya nyata.
Dihardik-Nya Laut Teberau, sehingga kering, dibawa-Nya mereka berjalan melalui samudera raya seperti melalui padang gurun.	Kalaban dhabuna Tase’ Galagas daddi kerreng, Pangeran abakta ommadda epajalan lebat e tase’ se dhasarra kerreng akantha sagara beddhi.
Demikian diselamatkan-Nya mereka dari tangan pembenci, ditebus-Nya mereka dari tangan musuh;	Kalaban cara se kantha jareya Allah masalamet reng-oreng jareya dhari mosona, epalopot dhari kobasana reng-oreng se baji’ ka aba’na.
air menutupi para lawan mereka, seorangpun dari pada mereka tiada tinggal.	Tape e dhalem aeng para mosona epatasellem, settonga tadha’ karena.
Ketika itu percayalah mereka kepada segala firman-Nya, mereka menyanyikan puji-pujian kepada-Nya.	Ommadda laju parcaja ka janjina, pas anyanye amolja’agi asmana.
Tetapi segera mereka melupakan perbuatan-perbuatan-Nya, dan tidak menantikan nasihat-Nya;	Tape ta’ abit dhari jareya reng-oreng jareya la loppa ka se elampa’agi PANGERAN, pas ngala’ karebba dibi’na ta’ kalaban nyo’on babala’anna.
mereka dirangsang nafsu di padang gurun, dan mencobai Allah di padang belantara.	E sagara beddhi reng-oreng jareya ta’ kellar ngampet napsona laju ba’-nyoba’ Allah.
Diberikan-Nya kepada mereka apa yang mereka minta, dan didatangkan-Nya penyakit paru-paru di antara mereka.	Allah marenge reng-oreng jareya sabarang se epenta etambai wabah panyaket se ce’ berra’na.
Mereka cemburu kepada Musa di perkemahan, dan kepada Harun, orang kudus TUHAN.	E sagara beddhi reng-oreng jareya ere ka Mosa ban ka Harun abdina se socce atena.
Bumi terbuka dan menelan Datan, menutupi kumpulan Abiram.	Bume pas maroka ngoldek Datan, notobi Abiram ban la-balana.
Api menyala di kalangan mereka, nyala api menghanguskan orang-orang fasik itu.	Apoy toron ngolap e kennengnganna reng-oreng jareya, potthon katonon reng-oreng se padha daraka.
Mereka membuat anak lembu di Horeb, dan sujud menyembah kepada patung tuangan;	E Gunong Sinay reng-oreng jareya agabay budhu’na pe-sapeyan dhari emmas, pas nyemba arca gabayanna tanangnga.
mereka menukar Kemuliaan mereka dengan bangunan sapi jantan yang makan rumput.	Reng-oreng jareya morobi Allahna se agung molja egante’e arcana sape se ngakanan rebba.
Mereka melupakan Allah yang telah menyelamatkan mereka, yang telah melakukan hal-hal yang besar di Mesir:	Reng-oreng jareya loppa ka Allah panyalamedda aba’na se alampa’agi sabarang lalakon raja e Messer rowa.
perbuatan-perbuatan ajaib di tanah Ham, perbuatan-perbuatan dahsyat di tepi Laut Teberau.	Nako’e onggu se elampa’agi Allah e jadhiya, makasambu’ ate kadaddiyan e Tase’ Galagas.
Maka Ia mengatakan hendak memusnahkan mereka, kalau Musa, orang pilihan-Nya, tidak mengetengahi di hadapan-Nya, untuk menyurutkan amarah-Nya, sehingga Ia tidak memusnahkan mereka.	Daddi Allah aneyat mateyana ommadda, tape elanglang bi’ Mosa, oreng peleyanna. Mosa daddi panengnga e antarana Allah ban ommadda, daddi Allah pas terep dukana.
Mereka menolak negeri yang indah itu, tidak percaya kepada firman-Nya.	Saellana jareya reng-oreng buru nolak nagara se bagus rowa polana ta’ parcaja ka janjina Allah.
Mereka menggerutu di kemahnya dan tidak mendengarkan suara TUHAN.	Reng-oreng jareya aseddhiyan e dhalem kemahna, ta’ endha’ ngedhingngagi dhabuna PANGERAN.
Lalu Ia mengangkat tangan-Nya terhadap mereka untuk meruntuhkan mereka di padang gurun,	Allah laju asompa ban ajanji mateyana reng-oreng jareya e sagara beddhi.
dan untuk mencerai-beraikan anak cucu mereka ke antara bangsa-bangsa, dan menyerakkan mereka ke pelbagai negeri.	Toronanna reng-oreng jareya ebuwanga e antarana sa-bangsa, epabalessudana e ra-nagara manca.
Mereka berpaut pada Baal Peor, dan memakan korban-korban sembelihan bagi orang mati.	Saellana jareya e Peyor reng-oreng jareya nyemba Ba’al, ban ngakan tor-ator se ebagi ka ba-dibana.
Mereka menyakiti hati-Nya dengan perbuatan mereka, maka timbullah tulah di antara mereka.	Tengkana reng-oreng jareya andaddiyagi dukana PANGERAN, daddi laju epadhatengnge panyaket se nako’e parana.
Tetapi Pinehas berdiri dan menjalankan hukum, maka berhentilah tulah itu.	Tape Pinehas kalowar ngokom reng-oreng se sala, daddi panyaket jareya laju ambu.
Hal itu diperhitungkan kepadanya sebagai jasa turun-temurun, untuk selama-lamanya.	Jareya eanggep jasana, se ekaenga’e salanjangnga.
Mereka menggusarkan Dia dekat air Meriba, sehingga Musa kena celaka karena mereka;	E mor-somor Meriba reng-oreng jareya mapeggel PANGERAN, masossa Mosa polana tengka polana.
sebab mereka memahitkan hatinya, sehingga ia teledor dengan kata-katanya.	Reng-oreng jareya mapeggel panggaliyanna Mosa, kantos adhabu ta’ kalaban epekker sabellunna.
Mereka tidak memunahkan bangsa-bangsa, seperti yang diperintahkan TUHAN kepada mereka,	Sa-bangsa laen bi’ reng-oreng jareya ta’ epamosna akantha se epakonnagi PANGERAN.
tetapi mereka bercampur baur dengan bangsa-bangsa, dan belajar cara-cara mereka bekerja.	Reng-oreng jareya la’-mala’ acampor ban sa-bangsa jareya, nerowe ra-carana oreng se ta’ kennal ka Allah.
Mereka beribadah kepada berhala-berhala mereka, yang menjadi perangkap bagi mereka.	Reng-oreng jareya laju nyemba la-brahala, jareya se daddi lantaranna gaggarra aba’na.
Mereka mengorbankan anak-anak lelaki mereka, dan anak-anak perempuan mereka kepada roh-roh jahat,	Na’-ana’na dibi’ ekagabay kurban ka la-brahala Kana’an.
dan menumpahkan darah orang yang tak bersalah, darah anak-anak lelaki dan anak-anak perempuan mereka, yang mereka korbankan kepada berhala-berhala Kanaan, sehingga negeri itu cemar oleh hutang darah.	Reng-oreng jareya magili dharana oreng se ta’ sala, dharana na’-ana’na dibi’, se ekurbannagiya ka la-brahala, sampe’ reng-oreng jareya makocem nagarana.
Mereka menajiskan diri dengan apa yang mereka lakukan, dan berzinah dalam perbuatan-perbuatan mereka.	Lantaran tengka polana jareya reng-oreng jareya daddi najjis, ban ta’ esto ka Allah.
Maka menyalalah murka TUHAN terhadap umat-Nya, dan Ia jijik kepada milik-Nya sendiri.	PANGERAN laju ce’ dukana ka ommat jareya, ce’ baji’na ka ommat kaagunganna dibi’.
Diserahkan-Nyalah mereka ke tangan bangsa-bangsa, sehingga orang-orang yang membenci mereka berkuasa atas mereka.	Daddi reng-oreng jareya eparengngagi ka sa-bangsa, epanneng ekobasae so-mosona.
Mereka diimpit oleh musuhnya, sehingga takluk ke bawah kuasanya.	Ommat jareya pas etendhes bi’ so-mosona, epatellok e dhalem kakobasa’anna.
Banyak kali dilepaskan-Nya mereka, tetapi mereka bersikap memberontak dengan rencana-rencana mereka, tenggelam dalam kesalahan mereka.	Li-baliyan PANGERAN masalamet reng-oreng jareya, tape reng-oreng jareya asoka’an aberonta’ sampe’ kabbi padha mate e dhalem sa-dusana.
Namun Ia menilik kesusahan mereka, ketika Ia mendengar teriak mereka.	Tape PANGERAN meyarsa cerrengnga reng-oreng jareya, Salerana ngoladi ka kasossa’anna.
Ia ingat akan perjanjian-Nya karena mereka, dan menyesal sesuai dengan kasih setia-Nya yang besar.	Kaangguy kaparlowanna reng-oreng jareya Pangeran emot ka parjanjiyanna, arassa neser lantaran kataresna’anna se ce’ rajana.
Diberi-Nya mereka mendapat rahmat dari pihak semua orang yang menawan mereka.	Sakabbinna oreng se nawan reng-oreng jareya epaneser kabbi ka ommat jareya.
Selamatkanlah kami, ya TUHAN, Allah kami, dan kumpulkanlah kami dari antara bangsa-bangsa, supaya kami bersyukur kepada nama-Mu yang kudus, dan bermegah dalam puji-pujian kepada-Mu.	Adhu Guste ALLAH, parenge salamet abdidalem sadajana, pakompollagi abdidalem sadajana dhari antarana sa-bangsa sopaja abdidalem sadaja kengenga asokkor sareng amolja’agi asmana Junandalem se socce.
Terpujilah TUHAN, Allah Israel, dari selama-lamanya sampai selama-lamanya, dan biarlah seluruh umat mengatakan: "Amin!" Haleluya!	Molja’agi PANGERAN, Allahna Isra’il, sateya ban salanjangnga. Dina reng-oreng me’ padha ngoca’, "Amin!" Molja’agi PANGERAN!
Bersyukurlah kepada TUHAN, serukanlah nama-Nya, perkenalkanlah perbuatan-Nya di antara bangsa-bangsa!	Mara asokkor ka PANGERAN, berta’agi kaagunganna, careta’agi lalampa’anna ka sa-bangsa.
Bernyanyilah bagi-Nya, bermazmurlah bagi-Nya, percakapkanlah segala perbuatan-Nya yang ajaib!	Mara nyanye pojiyan kaagem ka PANGERAN, berta’agi sakabbinna karyana se makasambu’ pekkeran.
Bermegahlah di dalam nama-Nya yang kudus, biarlah bersukahati orang-orang yang mencari TUHAN!	Salerana jareya Pangeran Se Settong; mara paperak sabab sengko’ ban ba’na reya kaagunganna, kabbi se abakte ka Salerana mara pagumbira.
Carilah TUHAN dan kekuatan-Nya, carilah wajah-Nya selalu!	Nyo’on kakowadan dhari Salerana, semba Salerana salanjangnga.
Ingatlah perbuatan-perbuatan ajaib yang dilakukan-Nya, mujizat-mujizat-Nya dan penghukuman-penghukuman yang diucapkan-Nya,	He toronanna Ibrahim, abdina Allah, para toronanna Yakub, peleyanna Pangeran, kaenga’e sakabbinna kaajiban se elampa’agi Salerana, ja’ kaloppae kapotosan-kapotosanna.
Dialah TUHAN, Allah kita, di seluruh bumi berlaku penghukuman-Nya.	PANGERAN reya Allahna sengko’ ban ba’na, kapotosanna kaangguy saantero dunnya.
Ia ingat untuk selama-lamanya akan perjanjian-Nya, firman yang diperintahkan-Nya kepada seribu angkatan,	Salerana terros emot ka parjanjiyanna, dhabuna kaangguy salanjangnga.
yang diikat-Nya dengan Abraham, dan akan sumpah-Nya kepada Ishak;	Parjanjiyan jareya ebadhi Pangeran ban Ibrahim, saellana pas epaterros ban Ishak.
diadakan-Nya hal itu menjadi ketetapan bagi Yakub, menjadi perjanjian kekal bagi Israel,	Saellana jareya pas epakoko bi’ Yakub, epadaddi parjanjiyan se langgeng ban ommat Isra’il.
firman-Nya: "Kepadamu akan Kuberikan tanah Kanaan, sebagai milik pusaka yang ditentukan bagimu."	Ca’na dhabuna, "Tana Kana’an bi’ Sengko’ ebagiya ka ba’na, epadaddiya sangkolan andhi’na ba’na."
Ketika jumlah mereka tidak seberapa, sedikit saja, dan mereka orang-orang asing di sana,	Lamba’ ommadda Allah daddi oreng manca e dhissa’, bannya’na orengnga ta’ saapa.
dan mengembara dari bangsa yang satu ke bangsa yang lain, dari kerajaan yang satu ke suku bangsa yang lain,	Reng-oreng jareya alalana dhari bangsa se settong ka settonga, ngalle dhari nagara se settong ka settonga.
Ia tidak membiarkan seorangpun memeras mereka, raja-raja dihukum-Nya oleh karena mereka:	Tape Pangeran ta’ ngedine sapa’a bai nendhes ommadda jareya, kaangguy masalamedda ommadda, to-rato padha epaenga’,
"Jangan mengusik orang-orang yang Kuurapi, dan jangan berbuat jahat kepada nabi-nabi-Ku!"	"Ja’ la-nyala ka ommat Tang peleyan, Tang bi-nabbi ja’ ca-anca!"
Ketika Ia mendatangkan kelaparan ke atas negeri itu, dan menghancurkan seluruh persediaan makanan,	PANGERAN madhateng laep ka nagara jareya, parsadhiya’anna kakanan epondhut epatadha’ karena.
diutus-Nyalah seorang mendahului mereka: Yusuf, yang dijual menjadi budak.	Tape Pangeran ngotos oreng ajangadha’i ommadda jareya, Yusup, se ejuwal egabay dunor odhi’na.
Mereka mengimpit kakinya dengan belenggu, lehernya masuk ke dalam besi,	Sokona ekalenthong, le’erra etale’e rantay besse.
sampai saat firman-Nya sudah genap, dan janji TUHAN membenarkannya.	Dhi-budhina kadaddiyan keya se eramallagi salerana, Yusup eanggep ta’ sala polana dhabuna PANGERAN.
Raja menyuruh melepaskannya, penguasa bangsa-bangsa membebaskannya.	Rato Messer se ngobasane sa-bangsa makalowar salerana dhari penjara.
Dijadikannya dia tuan atas istananya, dan kuasa atas segala harta kepunyaannya,	Yusup laju epangoros karaja’anna, eparenge kakobasa’an marenta nagarana;
untuk memberikan petunjuk kepada para pembesarnya sekehendak hatinya dan mengajarkan hikmat kepada para tua-tuanya.	bariya keya kakobasa’an ngator para ponggabana rato, ban mimpin kaom towa.
Demikianlah Israel datang ke Mesir, dan Yakub tinggal sebagai orang asing di tanah Ham.	Yakub pas meyos ka Messer, neptep e jadhiya daddi oreng manca.
TUHAN membuat umat-Nya sangat subur, dan menjadikannya lebih kuat dari pada para lawannya;	Bi’ PANGERAN ommadda epatamba bannya’, sampe’ daddi akowadan dhari mosona.
diubah-Nya hati mereka untuk membenci umat-Nya, untuk memperdayakan hamba-hamba-Nya.	Atena oreng Messer epabaji’ ka ommadda, para abdina padha eco-koco.
Diutus-Nya Musa, hamba-Nya, dan Harun yang telah dipilih-Nya;	Pangeran laju ngotos Mosa abdina sarta Harun oreng peleyanna.
keduanya mengadakan tanda-tanda-Nya di antara mereka, dan mujizat-mujizat di tanah Ham:	E nagara Messer se kadhuwa jareya mabadha kaajiban sabannya’na, lalakon ja-raja se elampa’agi Pangeran,
dikirim-Nya kegelapan, maka hari menjadi gelap, tetapi mereka memberontak terhadap firman-Nya;	Mosa ban Harun ta’at ka papakonna. Nagara jareya laju epapetteng calemodan bi’ Pangeran.
diubah-Nya air mereka menjadi darah, dan dimatikan-Nya ikan-ikan mereka.	Songayya eoba epadaddi dhara, sampe’ mate kabbi ko’-juko’na.
Katak-katak berkeriapan di negeri mereka, bahkan di kamar-kamar raja mereka;	Kata’ mossa’e nagara jareya, la’-mala’ sampe’ maso’ ka karatonna.
Ia berfirman, maka datanglah lalat pikat, dan nyamuk-nyamuk di seluruh daerah mereka;	Kalaban dhabuna Allah laju dhateng lala’ sabannya’na, rengnge’ ngaromo’ saantero nagara.
dicurahkan-Nya hujan es ganti hujan mereka, dan api yang menyala-nyala di negeri mereka;	Pangeran matoron es menangka gantena ojan, kelap epadhateng patang galirap.
dirubuhkan-Nya pohon anggur dan pohon ara mereka, dan ditumbangkan-Nya pohon di daerah mereka;	Pangeran marobbu bungkana anggur ban bungkana ara, bariya keya ju-kajuwan laenna.
Ia berfirman, maka datanglah belalang dan belalang pelompat tidak terbilang banyaknya,	Kalaban dhabuna pas dhateng balang, bannya’na ta’ ekenneng bitong, ta’ ekenneng bilang.
yang memakan segala tumbuh-tumbuhan di negeri mereka, dan memakan hasil tanah mereka;	Balang jareya ngakan sakabbinna men-tamennan e teggal, hasella bume ekakan epatadha’.
dibunuh-Nya semua anak sulung di negeri mereka, mula segala kegagahan mereka:	Saellana jareya Pangeran mate’e sakabbinna ana’ sareyang e Messer.
Dituntun-Nya mereka keluar membawa perak dan emas, dan di antara suku-suku mereka tidak ada yang tergelincir.	Saellana jareya bangsa Isra’il pas eater ka lowar, reng-oreng jareya ngeba emmas ban salaka, kabbi padha baras ban kowat.
Orang Mesir bersukacita, ketika mereka keluar, sebab orang-orang Mesir itu ditimpa ketakutan terhadap mereka.	Oreng Messer tako’ ka bangsa Isra’il jareya, daddi padha perak atena e bakto oreng Isra’il ondur dhari nagarana.
Dibentangkan-Nya awan menjadi tudung, dan api untuk menerangi malam.	Bi’ Pangeran ommadda epajunge ondhem, eparenge apoy se matera’ e baja malem.
Mereka meminta, maka didatangkan-Nya burung puyuh, dan dengan roti dari langit dikenyangkan-Nya mereka.	Reng-oreng jareya nyo’on, Pangeran madhateng mano’ gemmek, ommadda eparenge roti dhari sowarga sampe’ padha kennyang.
Dibuka-Nya gunung batu, maka terpancarlah air, lalu mengalir di padang-padang kering seperti sungai;	Gunong bato eseba’ pas kalowar aeng se agili akantha songay e ra-ara beddhi.
sebab Ia ingat akan firman-Nya yang kudus, akan Abraham, hamba-Nya.	Sabab Pangeran emot ka janjina se edhabuwagi ka Ibrahim, abdina.
Dituntun-Nya umat-Nya keluar dengan kegirangan dan orang-orang pilihan-Nya dengan sorak-sorai.	Daddi Pangeran ngater ommat peleyanna, se nyanye sambi asorak, kaperagen atena.
Diberikan-Nya kepada mereka negeri-negeri bangsa-bangsa, sehingga mereka memiliki hasil jerih payah suku-suku bangsa,	Tanana sa-bangsa laen eparengngagi ka ommat jareya, gal-teggalla epadaddi andhi’na,
agar supaya mereka tetap mengikuti ketetapan-Nya, dan memegang segala pengajaran-Nya. Haleluya!	sopaja ommadda ta’ada ka kom-hokomma ban atoro’ ka papakonna. Molja’agi PANGERAN!
Pujilah TUHAN, hai jiwaku! TUHAN, Allahku, Engkau sangat besar! Engkau yang berpakaian keagungan dan semarak,	Molja’agi PANGERAN, tang sokma! Agung onggu Junandalem, Guste ALLAH, Pangeran kaula! Junandalem ngagem rasogan kabessaran sareng kamolja’an,
yang berselimutkan terang seperti kain, yang membentangkan langit seperti tenda,	sareng abuko’ caja. Junandalem ngampar langnge’ epakadi kemah,
yang mendirikan kamar-kamar loteng-Mu di air, yang menjadikan awan-awan sebagai kendaraan-Mu, yang bergerak di atas sayap angin,	sareng maddek dalemmepon e attas aeng e langnge’. Dhem-ondhem sareng Junandalem ebadhi teteyan, Junandalem netene kalembang angen.
yang membuat angin sebagai suruhan-suruhan-Mu, dan api yang menyala sebagai pelayan-pelayan-Mu,	Sareng Junandalem angen ebadhi otosan, dhap-keddhap ebadhi pangladin.
yang telah mendasarkan bumi di atas tumpuannya, sehingga takkan goyang untuk seterusnya dan selamanya.	Junandalem masang bume epakoko e langganna, kantos ta’ kera gundhek salanjangnga.
Dengan samudera raya Engkau telah menyelubunginya; air telah naik melampaui gunung-gunung.	Junandalem notobi bume sareng tase’ raja, aengnga ngambang kantos ka konco’na nong-gunong.
Terhadap hardik-Mu air itu melarikan diri, lari kebingungan terhadap suara guntur-Mu,	E bakto sareng Junandalem ebentak, aeng gapaneka agili, pagilina banter lantaran garudhu’na sowarana Junandalem.
naik gunung, turun lembah ke tempat yang Kautetapkan bagi mereka.	Aeng agili lebat e nong-gunong ka dhalem cora, ka kennengngan se ampon esadhiya’agi sareng Junandalem.
Batas Kautentukan, takkan mereka lewati, takkan kembali mereka menyelubungi bumi.	Junandalem nantowagi tes-bates se ta’ kengeng elebadi aeng gapaneka, sopaja ta’ kantos abali ngambang neng e bume.
Engkau yang melepas mata-mata air ke dalam lembah-lembah, mengalir di antara gunung-gunung,	Junandalem magili somber e ra-cora, ka-cangkana songay epagili e ke’-lekke’na mo’-gumo’,
memberi minum segala binatang di padang, memuaskan haus keledai-keledai hutan;	badhi ngenome keban, maelanga pelka’na mar-hemar alas.
di dekatnya diam burung-burung di udara, bersiul dari antara daun-daunan.	E ma’-semma’na no’-mano’ abadhi lebunna, ngoce e dhalemmanna un-dhaunan.
Engkau yang memberi minum gunung-gunung dari kamar-kamar loteng-Mu, bumi kenyang dari buah pekerjaan-Mu.	Junandalem matoron ojan dhari langnge’ epagaggar ka pagunongan, bume possa’ sareng hasel karyaepon Junandalem.
Engkau yang menumbuhkan rumput bagi hewan dan tumbuh-tumbuhan untuk diusahakan manusia, yang mengeluarkan makanan dari dalam tanah	Junandalem matombu rebba menangka teddhana ban-keban, matombu samacemmepon men-tamennan kaagem manossa. Daddi manossa kengeng men-tamennan,
dan anggur yang menyukakan hati manusia, yang membuat muka berseri karena minyak, dan makanan yang menyegarkan hati manusia.	sareng ngasellagi aengnga anggur se nyaman. Jugan mennya’ jaitun se matera’ mowana, sareng teddha’an se madhateng kakowadan ka badanna.
Kenyang pohon-pohon TUHAN, pohon-pohon aras di Libanon yang ditanam-Nya,	Ka’-bungka’anna se etamen PANGERAN dibi’, comara Libanon se gi-tenggi eparenge ojan sacokobba.
di mana burung-burung bersarang, burung ranggung yang rumahnya di pohon-pohon sanobar;	E ka’dhissa’ no’-mano’ abadhi lebunna, ko’-dalko’ alebun e co’-konco’na.
gunung-gunung tinggi adalah bagi kambing-kambing hutan, bukit-bukit batu adalah tempat perlindungan bagi pelanduk.	Nong-gunong se tenggi daddi kennengnganna embi’ alas; kancel ngetek neng e to-bato karang.
Engkau yang telah membuat bulan menjadi penentu waktu, matahari yang tahu akan saat terbenamnya.	Junandalem abadhi bulan menangka tandhaepon bakto, are oneng bilaepon baktona compet.
Apabila Engkau mendatangkan gelap, maka haripun malamlah; ketika itulah bergerak segala binatang hutan.	Manabi Junandalem madhateng petteng, are laju malem, sadajana burun alas padha kalowar.
Singa-singa muda mengaum-aum akan mangsa, dan menuntut makanannya dari Allah.	Can-macan se gi’ ngodha agaung nyare mangsana, nyare teddha’an se esadhiya’agi Allah.
Apabila matahari terbit, berkumpullah semuanya dan berbaring di tempat perteduhannya;	Manabi are moncar, burun alas gapaneka padha nyengla, arendhu e pangetegganna.
manusiapun keluarlah ke pekerjaannya, dan ke usahanya sampai petang.	Manossa laju kalowar alalakona, terros alako kantos are para’ compedda.
Betapa banyak perbuatan-Mu, ya TUHAN, sekaliannya Kaujadikan dengan kebijaksanaan, bumi penuh dengan ciptaan-Mu.	Bannya’ onggu karyaepon Junandalem, GUSTE, sadajana elampa’agi Junandalem kalaban bicaksana; bume possa’ sareng cepta’annepon Junandalem.
Lihatlah laut itu, besar dan luas wilayahnya, di situ bergerak, tidak terbilang banyaknya, binatang-binatang yang kecil dan besar.	Oladi tase’ se lebar ngampar ka’dhissa’, sareng mahlok raja kene’ se ta’ kabilang bannya’na.
Di situ kapal-kapal berlayar dan Lewiatan yang telah Kaubentuk untuk bermain dengannya.	E tase’ gapaneka pal-kapal alajar, Lewiyatan, naga tase’ cepta’annepon Junandalem, en-maenan.
Semuanya menantikan Engkau, supaya diberikan makanan pada waktunya.	Sadajana padha ngarep Junandalem, anante’ papareng teddha’an manabi ampon baktona.
Apabila Engkau memberikannya, mereka memungutnya; apabila Engkau membuka tangan-Mu, mereka kenyang oleh kebaikan.	Junandalem marenge, sadajana padha neddha, Junandalem nyadhiya’agi teddha’an, sadajana padha kennyang.
Apabila Engkau menyembunyikan wajah-Mu, mereka terkejut; apabila Engkau mengambil roh mereka, mereka mati binasa dan kembali menjadi debu.	Manabi Junandalem malengos, sadaja padha tako’; manabi Junandalem mondhut nyabana, sadaja padha mate, abali daddi abu akadi asalla.
Apabila Engkau mengirim roh-Mu, mereka tercipta, dan Engkau membaharui muka bumi.	Namong manabi sareng Junandalem eparenge nyaba, sadajana ecepta’agi; Junandalem apareng odhi’ se anyar ka bume.
Biarlah kemuliaan TUHAN tetap untuk selama-lamanya, biarlah TUHAN bersukacita karena perbuatan-perbuatan-Nya!	Moga kaagunganna PANGERAN teptebba salanjangnga! Moga Salerana sennengnga panggaliyanna ngoladi sadaja cepta’anna!
Dia yang memandang bumi sehingga bergentar, yang menyentuh gunung-gunung sehingga berasap.	Pangeran ngoladi ka bume sampe’ bume ngetter, nong-gunong esedding sampe’ okossa kalowar.
Aku hendak menyanyi bagi TUHAN selama aku hidup, aku hendak bermazmur bagi Allahku selagi aku ada.	Sengko’ anyanye kaagem ka PANGERAN saomorra, anyanye pojiyan kaator ka Allah saabidda sengko’ gi’ odhi’ e dunnya.
Biarlah renunganku manis kedengaran kepada-Nya! Aku hendak bersukacita karena TUHAN.	Moga tang nyanyeyan katarema’a, sabab Salerana se maperak tang ate reya.
Biarlah habis orang-orang berdosa dari bumi, dan biarlah orang-orang fasik tidak ada lagi! Pujilah TUHAN, hai jiwaku! Haleluya!	Mandar oreng daraka epamosna’a dhari bume, oreng jahat mandar padha’a mate. Molja’agi PANGERAN, tang sokma! Molja’agi PANGERAN!
Dari Daud. Pujilah TUHAN, hai jiwaku! Pujilah nama-Nya yang kudus, hai segenap batinku!	Dhari Daud. Mara molja’agi PANGERAN, tang sokma, tang ate, mara molja’agi asmana se socce.
Pujilah TUHAN, hai jiwaku, dan janganlah lupakan segala kebaikan-Nya!	Mara molja’agi PANGERAN, tang sokma, ja’ kaloppae kasaeyanna Salerana!
Dia yang mengampuni segala kesalahanmu, yang menyembuhkan segala penyakitmu,	Salerana se nyapora sakabbinna dusana ba’na, se mabaras sakabbinna panyakedda ba’na,
Dia yang menebus hidupmu dari lobang kubur, yang memahkotai engkau dengan kasih setia dan rahmat,	Salerana se malopot nyabana ba’na dhari koburan, se marenge ba’na kataresna’an ban kabellasan se talebat bannya’na.
