Berfirmanlah TUHAN kepada Musa:	Dhabuna PANGERAN ka Mosa,
Ingatlah kepada Abraham, Ishak dan Israel, hamba-hamba-Mu itu, sebab kepada mereka Engkau telah bersumpah demi diri-Mu sendiri dengan berfirman kepada mereka: Aku akan membuat keturunanmu sebanyak bintang di langit, dan seluruh negeri yang telah Kujanjikan ini akan Kuberikan kepada keturunanmu, supaya dimilikinya untuk selama-lamanya."	Kaemodi abdiepon Junandalem Ibrahim, Ishak sareng Yakub. Kaemodi Junandalem ampon asompa marengana se katello gapaneka na’ poto se bannya’na padha sareng bannya’na bintang e langnge’. Junandalem asompa jugan tana se ejanjiyagi Junandalem ka’dhissa’ bakal ekaandhi’a na’ potona Ibrahim, Ishak sareng Yakub salanjangnga."
Dan menyesallah TUHAN karena malapetaka yang dirancangkan-Nya atas umat-Nya.	Daddi PANGERAN pas ngoba neyadda ban burung se alampa’agiya ancamanna kaangguy neba’agi balai ka bangsa jareya.
Setelah itu berpalinglah Musa, lalu turun dari gunung dengan kedua loh hukum Allah dalam tangannya, loh-loh yang bertulis pada kedua sisinya; bertulis sebelah-menyebelah.	Mosa toron abali dhari gunong jareya abakta bato se dhadhuwa’ se la badha tolesanna e adha’ budhina, tolesan jareya aesse papakonna Allah.
Kedua loh itu ialah pekerjaan Allah dan tulisan itu ialah tulisan Allah, ditukik pada loh-loh itu.	Allah dibi’ se abadhi papan bato jareya ban se ngokerragi papakonna e papan jareya.
Ketika Yosua mendengar suara bangsa itu bersorak, berkatalah ia kepada Musa: "Ada bunyi sorak peperangan kedengaran di perkemahan."	E bakto toron dhari gunong jareya Yusak meyarsa oreng Isra’il rat-tharadan ce’ rammena. Ca’na Yusak ka Mosa, "Kadiya badha paperrangan e parkemahan."
Tetapi jawab Musa: "Bukan bunyi nyanyian kemenangan, bukan bunyi nyanyian kekalahan--bunyi orang menyanyi berbalas-balasan, itulah yang kudengar."	Dhabuna Mosa, "Katonna banne sowarana oreng se mennang otabana kala perrang; arowa sowarana oreng anyanye."
Dan ketika ia dekat ke perkemahan itu dan melihat anak lembu dan melihat orang menari-nari, maka bangkitlah amarah Musa; dilemparkannyalah kedua loh itu dari tangannya dan dipecahkannya pada kaki gunung itu.	Sanapa’na ka seddi’anna parkemahan Mosa ngoladi pe-sapeyan emmas rowa ban reng-oreng se teppa’na padha atari. Mosa pas ce’ dukana, sampe’ papan bato se dhadhuwa’ se ebakta dhari attas gunong gella’ ebantengngagi e babana gunong jareya sampe’ lejjar.
Sesudah itu diambilnyalah anak lembu yang dibuat mereka itu, dibakarnya dengan api dan digilingnya sampai halus, kemudian ditaburkannya ke atas air dan disuruhnya diminum oleh orang Israel.	Pe-sapeyan emmas gabayanna reng-oreng Isra’il rowa epondhut, eobbar, pas etette sampe’ alos akantha bubu’. Bubu’ jareya ecampor ban aeng, pas epakon enom ka reng-oreng Isra’il.
Lalu berkatalah Musa kepada Harun: "Apakah yang dilakukan bangsa ini kepadamu, sehingga engkau mendatangkan dosa yang sebesar itu kepada mereka?"	Dhabuna Mosa ka Harun, "Ba’na epabaramma bi’ reng-oreng rowa me’ sampe’ reng-oreng jareya bi’ ba’na epanneng alako dusa se kantha jareya rajana?"
Tetapi jawab Harun: "Janganlah bangkit amarah tuanku; engkau sendiri tahu, bahwa bangsa ini jahat semata-mata.	Ca’na Harun, "Ella ba’na ja’ gigir ka sengko’; ba’na tao dibi’ reng-oreng reya talebat jahadda.
Mereka berkata kepadaku: Buatlah untuk kami allah, yang akan berjalan di depan kami sebab Musa ini, orang yang telah memimpin kami keluar dari tanah Mesir--kami tidak tahu apa yang telah terjadi dengan dia.	Ca’na reng-oreng jareya ka sengko’, ‘Ba’ badha ponapa ba’nengan, me’ Mosa se mimpin bangsa kaula kalowar dhari Messer ka’issa’ tadha’ abali; daddi tore kaula sadaja badhiyagi illah me’ olle bangsa kaula paneka badha se mimpin.’
Lalu aku berkata kepada mereka: Siapa yang empunya emas haruslah menanggalkannya. Mereka memberikannya kepadaku dan aku melemparkannya ke dalam api, dan keluarlah anak lembu ini."	Daddi bi’ sengko’ reng-oreng jareya esoro makompol angguyya se dhari emmas, kabbi padha massra’agi angguyya se dhari emmas jareya ka sengko’. Bi’ sengko’ pas elejjur e apoy ekagabay pe-sapeyan."
Ketika Musa melihat, bahwa bangsa itu seperti kuda terlepas dari kandang--sebab Harun telah melepaskannya, sampai menjadi buah cemooh bagi lawan mereka--	Mosa ngagali ja’ reng-oreng Isra’il jareya bi’ Harun etorot sakarebba, sampe’ kabbi padha ekala’-gella’ bi’ so-mosona.
maka berdirilah Musa di pintu gerbang perkemahan itu serta berkata: "Siapa yang memihak kepada TUHAN datanglah kepadaku!" Lalu berkumpullah kepadanya seluruh bani Lewi.	Daddi Mosa pas ngadek e labangnga parkemahan jareya, laju aera’, "Pa-sapa se gi’ ngabdiya ka PANGERAN, akompol dha’ enna’ kabbi!" Suku Lewi padha nyander ka seddi’na Mosa kabbi.
Berkatalah ia kepada mereka: "Beginilah firman TUHAN, Allah Israel: Baiklah kamu masing-masing mengikatkan pedangnya pada pinggangnya dan berjalanlah kian ke mari melalui perkemahan itu dari pintu gerbang ke pintu gerbang, dan biarlah masing-masing membunuh saudaranya dan temannya dan tetangganya."	Dhabuna Mosa ka reng-oreng jareya, "Badha dhabuna PANGERAN, Allahna Isra’il, ba’na epakon ngala’ peddhangnga bang-sebang, pas ajalan sabalattrana e parkemahan reya, molae dhari labang reya ka labang laenna, sambi mate’e tan-taretanna, ca-kancana ban ga-tatanggana."
Bani Lewi melakukan seperti yang dikatakan Musa dan pada hari itu tewaslah kira-kira tiga ribu orang dari bangsa itu.	Suku Lewi ajalannagi papakon jareya, pas mate’e oreng bannya’na ra-kera tello ebu oreng e dhalem saare jareya.
Kemudian berkatalah Musa: "Baktikanlah dirimu mulai hari ini kepada TUHAN, masing-masing dengan membayarkan jiwa anaknya laki-laki dan saudaranya--yakni supaya kamu diberi berkat pada hari ini."	Dhabuna Mosa ka reng-oreng Lewi, "Are teya ba’na massra’agi aba’ malolo daddi imam se ngabdi ka PANGERAN kalaban mate’e na’-ana’ lalake’anna ban tan-taretan lalake’anna dibi’, daddi bi’ PANGERAN ba’na padha eparenge berkadda kabbi."
Keesokan harinya berkatalah Musa kepada bangsa itu: "Kamu ini telah berbuat dosa besar, tetapi sekarang aku akan naik menghadap TUHAN, mungkin aku akan dapat mengadakan pendamaian karena dosamu itu."	Kalagguwanna Mosa adhabu ka reng-oreng Isra’il, "Ba’na padha ngalakone dusa se ce’ rajana. Tape sateya sengko’ ongga’a ka gunong pole ngadhebba PANGERAN; pola sengko’ me’ olle nyo’onnagi sopaja dusana ba’na jareya esapora’a."
Lalu kembalilah Musa menghadap TUHAN dan berkata: "Ah, bangsa ini telah berbuat dosa besar, sebab mereka telah membuat allah emas bagi mereka.	Mosa laju ngadhep pole ka PANGERAN, pas mator, "Reng-oreng Isra’il ampon abadhi dusa se ce’ rajana, abadhi illah dhari emmas se esemba.
Tetapi sekarang, kiranya Engkau mengampuni dosa mereka itu--dan jika tidak, hapuskanlah kiranya namaku dari dalam kitab yang telah Kautulis."	Moga Junandalem kasokana nyapora dusana reng-oreng ka’dhinto, manabi bunten, langkong sae kosot saos nyama abdidalem dhari bukuepon reng-oreng se odhi’."
Tetapi TUHAN berfirman kepada Musa: "Siapa yang berdosa kepada-Ku, nama orang itulah yang akan Kuhapuskan dari dalam kitab-Ku.	Dhabuna PANGERAN, "Se ekosoda nyamana dhari ketab jareya coma oreng se dusa ka Sengko’.
Tetapi pergilah sekarang, tuntunlah bangsa itu ke tempat yang telah Kusebutkan kepadamu; akan berjalan malaikat-Ku di depanmu, tetapi pada hari pembalasan-Ku itu Aku akan membalaskan dosa mereka kepada mereka."	Sateya kassa’ mangkat, pimpin bangsa Isra’il jareya ka kennengngan se bi’ Sengko’ la ekoca’agi ka ba’na. Tang malaekat abarengngana ba’na terros, tape e settong bakto reng-oreng se dusa jareya bi’ Sengko’ eokoma."
Demikianlah TUHAN menulahi bangsa itu, karena mereka telah menyuruh membuat anak lembu buatan Harun itu.	Daddi reng-oreng Isra’il bi’ PANGERAN epakenneng panyaket polana maksa Harun agabay pe-sapeyan emmas.
Berfirmanlah TUHAN kepada Musa:	Dhabuna PANGERAN ka Mosa,
"Lihat, telah Kutunjuk Bezaleel bin Uri bin Hur, dari suku Yehuda,	"Sengko’ la mele Bezale’el ana’na Uri, kompoyya Hur dhari suku Yehuda,
dan telah Kupenuhi dia dengan Roh Allah, dengan keahlian dan pengertian dan pengetahuan, dalam segala macam pekerjaan,	bi’ Sengko’ eberri’i Tang kobasa. Bi’ Sengko’ eberri’i pangarteyan, ban kacakebban e dhalem samacemma karya seni,
untuk membuat berbagai rancangan supaya dikerjakan dari emas, perak dan tembaga;	kaangguy agabay rancangan se marlowagi kaahliyan sarta agabay rancangan jareya dhari emmas, salaka ban paronggu;
untuk mengasah batu permata supaya ditatah; untuk mengukir kayu dan untuk bekerja dalam segala macam pekerjaan.	kaangguy agangse bato mamatan se bi’ Sengko’ etata’a; kaangguy ngoker kaju ban kaangguy samacemma karya seni laenna.
Juga Aku telah menetapkan di sampingnya Aholiab bin Ahisamakh, dari suku Dan; dalam hati setiap orang ahli telah Kuberikan keahlian. Haruslah mereka membuat segala apa yang telah Kuperintahkan kepadamu:	Aholiyab, ana’na Ahisamakh dhari suku Dan, bi’ Sengko’ la epele keya epanolongana Bezale’el. Kang-tokang se penter bi’ Sengko’ eberri’i kaahliyan keya, sopaja padha’a tao agabay apa’a bai se eparenta’agi Sengko’:
Kemah Pertemuan, tabut untuk hukum, tutup pendamaian yang terletak di atasnya, dan segala perabotan kemah itu,	Tang Kemah, Petthe Parjanjiyan ban kodhungnga, sakabbinna parabudda Kemah,
yakni meja dengan perkakasnya, kandil dari emas murni dengan segala perkakasnya, mezbah pembakaran ukupan,	iya areya meja ban parlengkabanna, panongko’anna damar dhari emmas morne ban parlengkabanna, mezba kennengnganna pangobbaranna dupa,
mezbah korban bakaran dengan segala perkakasnya, bejana pembasuhan dengan alasnya,	mezba kennengnganna kurban obbaran ban sakabbinna parlengkabanna, cemmongnga aeng ban panongko’anna,
pakaian jabatan, baik pakaian kudus kepunyaan imam Harun, maupun pakaian anak-anaknya, untuk memegang jabatan imam,	pangangguyya kabakteyan se eangguya Harun ban na’-ana’na, se kodu eangguy mon teppa’na ajalannagi lalakonna imam,
minyak urapan dan ukupan dari wangi-wangian untuk tempat kudus; tepat seperti yang telah Kuperintahkan kepadamu haruslah mereka membuat semuanya."	mennya’na opacara, ban dupa ro’om kaangguy Rowangan Se Socce. Rang-barang jareya kabbi kodu ekagabay persis ban petodu se esebbuttagi Sengko’ ka ba’na."
Berfirmanlah TUHAN kepada Musa:	PANGERAN makon ka Mosa
"Katakanlah kepada orang Israel, demikian: Akan tetapi hari-hari Sabat-Ku harus kamu pelihara, sebab itulah peringatan antara Aku dan kamu, turun-temurun, sehingga kamu mengetahui, bahwa Akulah TUHAN, yang menguduskan kamu.	sopaja ngomommagi ka bangsa Isra’il, "Raya’agi are Sabat, are se bi’ Sengko’ la eteptebbagi menangka are istirahat. Are jareya salanjangnga daddi parengeddan e antarana ba’na ban Sengko’, sopaja ba’na taowa ja’ Sengko’ reya PANGERAN, ban pole ja’ bi’ Sengko’ ba’na la epadaddi Tang ommat dibi’.
Haruslah kamu pelihara hari Sabat, sebab itulah hari kudus bagimu; siapa yang melanggar kekudusan hari Sabat itu, pastilah ia dihukum mati, sebab setiap orang yang melakukan pekerjaan pada hari itu, orang itu harus dilenyapkan dari antara bangsanya.	Are istirahat jareya kodu ehormadi menangka are se socce. Bi’ Sengko’ ba’na eberri’i nem are kaangguy alalakon, tape are se kapeng petto’ jareya are raja se ekusussagi kaangguy abakte ka Sengko’. Pa’-sapa’a se ta’ ngargai are jareya, kalaban alalakon e are jareya, kodu eokom mate.
Maka haruslah orang Israel memelihara hari Sabat, dengan merayakan sabat, turun-temurun, menjadi perjanjian kekal.	Bangsa Isra’il kodu araya’agi are Sabat jareya ron-temoron menangka tandhana parjanjiyan.
Antara Aku dan orang Israel maka inilah suatu peringatan untuk selama-lamanya, sebab enam hari lamanya TUHAN menjadikan langit dan bumi, dan pada hari yang ketujuh Ia berhenti bekerja untuk beristirahat."	Are jareya settong parengeddan se teptep e antarana bangsa Isra’il ban Sengko’, sabab Sengko’, PANGERAN, agabay langnge’ ban bume e dhalem bakto nem are, ban e are se kapeng petto’ Sengko’ ambu ta’ alalakon pole sarta laju aistirahat."
Dan TUHAN memberikan kepada Musa, setelah Ia selesai berbicara dengan dia di gunung Sinai, kedua loh hukum Allah, loh batu, yang ditulisi oleh jari Allah.	Samarena abu-dhabu ban Mosa e attassa Gunong Sinay, Allah marengngagi ka Mosa papan bato se dhadhuwa’ se bi’ Allah la etolese kon-papakonna.
"Haruslah kaubuat mezbah, tempat pembakaran ukupan; haruslah kaubuat itu dari kayu penaga;	Dhabuna PANGERAN ka Mosa, "Agabay mezba dhari kaju akasia, gabay kennengnganna pangobbaranna dupa.
sehasta panjangnya dan sehasta lebarnya, sehingga menjadi empat persegi, tetapi haruslah dua hasta tingginya; tanduk-tanduknya haruslah seiras dengan mezbah itu.	Mezba jareya kodu masagi empa’, lanjang ban lebarra padha pa’ polo lema’ sentimeter, ban tenggina sangang polo sentimeter. E padduna se pa’-empa’ pobuwi dhu’-tandhu’ se asambung manyettong ban mezba jareya.
Haruslah kausalut itu dengan emas murni, bidang atasnya dan bidang-bidang sisinya sekelilingnya, serta tanduk-tanduknya. Haruslah kaubuat bingkai emas sekelilingnya.	Bagiyan attassa, tamaso’ penggirra se pa’-empa’ ban dhu’-tandhu’na kodu ekole’e emmas morne ban e sakalenglengnga pobuwi palepet emmas.
Haruslah kaubuat dua gelang emas untuk mezbah itu di bawah bingkainya; pada kedua rusuknya haruslah kaubuat gelang itu, pada kedua bidang sisinya, dan haruslah gelang itu menjadi tempat memasukkan kayu pengusung, supaya dengan itu mezbah dapat diangkut.	Agabay long-kolong dhadhuwa’ pobu e baba’anna palepedda penggirra se dhadhuwa’ kaangguy panyekka’anna kaju kol-pekolla mezba jareya.
Haruslah kaubuat kayu pengusung itu dari kayu penaga dan kausalutlah dengan emas.	Kol-pekol jareya kodu kagabay dhari kaju akasia ban kodu ekole’e emmas.
Haruslah kautaruh tempat pembakaran itu di depan tabir penutup tabut hukum, di depan tutup pendamaian yang di atas loh hukum, di mana Aku akan bertemu dengan engkau.	Mezba jareya saba’ e bagiyan lowarra kaen se badha e adha’anna Petthe Parjanjiyan. E jadhiya kennengnganna Sengko’ mon atemmowa ban ba’na.
Di atasnya haruslah Harun membakar ukupan dari wangi-wangian; tiap-tiap pagi, apabila ia membersihkan lampu-lampu, haruslah ia membakarnya.	Sabban gi’ laggu, mon Harun entar aberseyana damar, kodu ngobbar dupa se ro’om e attassa mezba jareya.
Juga apabila Harun memasang lampu-lampu itu pada waktu senja, haruslah ia membakarnya sebagai ukupan yang tetap di hadapan TUHAN di antara kamu turun-temurun.	Bariya keya mon ngodhi’ana damar e baja malem. Tor-ator se aropa dupa jareya kodu ejalannagi ron-temoron salanjangnga.
Di atas mezbah itu janganlah kamu persembahkan ukupan yang lain ataupun korban bakaran ataupun korban sajian, juga korban curahan janganlah kamu curahkan di atasnya.	Ja’ nyaba’ tor-ator e mezba jareya se aropa dupa larangan, kurban keban otaba kurban sasajin; bariya keya ja’ nyelen kurban aeng anggur e jadhiya.
Sekali setahun haruslah Harun mengadakan pendamaian di atas tanduk-tanduknya; dengan darah korban penghapus dosa pembawa pendamaian haruslah ia sekali setahun mengadakan pendamaian bagi mezbah itu di antara kamu turun-temurun; itulah barang maha kudus bagi TUHAN."	Sataon sakaleyan Harun kodu mabadha opacara masocce mezba kalaban cara ngetesse tandhu’na se pa’-empa’ ban dharana ebin se ekurbannagi kaangguy pangamponanna dusa. Se kantha jareya kodu ejalannagi sabban taon salanjangnga. Mezba jareya kodu socce kabbi ban ekusussagi ka Sengko’."
TUHAN berfirman kepada Musa:	Dhabuna PANGERAN ka Mosa,
"Apabila engkau menghitung jumlah orang Israel pada waktu mereka didaftarkan, maka haruslah mereka masing-masing mempersembahkan kepada TUHAN uang pendamaian karena nyawanya, pada waktu orang mendaftarkan mereka, supaya jangan ada tulah di antara mereka pada waktu pendaftarannya itu.	"Mon ba’na mabadha caca jiwana bangsa Isra’il, saneyap lalake’an kodu majar ka Sengko’ pesse tebbusanna aba’na me’ olle ta’ ekenneng balai e bakto caca jiwa jareya ebadha’agi.
Inilah yang harus dipersembahkan tiap-tiap orang yang akan termasuk orang-orang yang terdaftar itu: setengah syikal, ditimbang menurut syikal kudus--syikal ini dua puluh gera beratnya--;setengah syikal itulah persembahan khusus kepada TUHAN.	Saneyap oreng se noro’ ebitong e dhalem caca jiwa jareya kodu majar pesse se bannya’na la etantowagi menorot arga neng e Tang Kemah, menangka tor-ator ka Sengko’.
Setiap orang yang akan termasuk orang-orang yang terdaftar itu, yang berumur dua puluh tahun ke atas, haruslah mempersembahkan persembahan khusus itu kepada TUHAN.	Saneyap oreng se ebitong e dhalem caca jiwa jareya, iya areya lalake’an se aomor dhu polo taon ka attas kodu massra’agi pesse tor-ator jareya.
Orang kaya janganlah mempersembahkan lebih dan orang miskin janganlah mempersembahkan kurang dari setengah syikal itu pada waktu dipersembahkan persembahan khusus itu kepada TUHAN untuk mengadakan pendamaian bagi nyawa kamu sekalian.	Se sogi ta’ osa aberri’ lebbi, ban se mesken ta’ olle aberri’ korang e bakto majar pesse panebbussa aba’na.
Dan haruslah engkau memungut uang pendamaian itu dari orang Israel dan menggunakannya untuk ibadah dalam Kemah Pertemuan; supaya itu menjadi peringatan di hadapan TUHAN untuk mengingat kepada orang Israel dan untuk mengadakan pendamaian bagi nyawa kamu sekalian."	Penta pesse jareya dhari bangsa Isra’il, pakompol, pas angguy kagabay kaparlowanna kabakteyan e dhalem Tang Kemah. Jareya kabbi pesse panebbussa reng-oreng jareya, ban Sengko’ bakal enga’a terros kaangguy ajaga kasalameddanna reng-oreng jareya."
Berfirmanlah TUHAN kepada Musa:	Dhabuna PANGERAN ka Mosa,
"Haruslah engkau membuat bejana dan juga alasnya dari tembaga, untuk pembasuhan, dan kautempatkanlah itu antara Kemah Pertemuan dan mezbah, dan kautaruhlah air ke dalamnya.	"Agabay cemmong dhari paronggu se langganna dhari paronggu keya. Cemmong jareya saba’ e antarana Kemah ban mezba, pas esse’e aeng.
Maka Harun dan anak-anaknya haruslah membasuh tangan dan kaki mereka dengan air dari dalamnya.	Aeng jareya kaangguy Harun ban na’-ana’na mon maccowana tanang ban sokona
Apabila mereka masuk ke dalam Kemah Pertemuan, haruslah mereka membasuh tangan dan kaki dengan air, supaya mereka jangan mati. Demikian juga apabila mereka datang ke mezbah itu untuk menyelenggarakan kebaktian dan untuk membakar korban api-apian bagi TUHAN,	sabellunna maso’ ka Kemah otabana entara ka mezba ngeba’a kurban obbaran. Harun ban na’-ana’na kodu maccowe tanang ban sokona me’ olle ta’ mate. Jareya atoran se kodu etoro’ bi’ Harun ban na’-ana’na sarta na’ potona salanjangnga."
Berfirmanlah TUHAN kepada Musa:	Dhabuna PANGERAN ka Mosa,
"Ambillah rempah-rempah pilihan, mur tetesan lima ratus syikal, dan kayu manis yang harum setengah dari itu, yakni dua ratus lima puluh syikal, dan tebu yang baik dua ratus lima puluh syikal,	"Ngala’ racegan se paleng bagus, emmor se ancar nem kilo, manes jangan tello kilo, tebbu ro’om tello kilo, kaju teja nem kilo.
dan kayu teja lima ratus syikal, ditimbang menurut syikal kudus, dan minyak zaitun satu hin.	Jareya kabbi tembang menorot tembangan se eangguy e Tang Kemah. Tamba’agi mennya’ jaitun pa’ liter,
Haruslah kaubuat semuanya itu menjadi minyak urapan yang kudus, suatu campuran rempah-rempah yang dicampur dengan cermat seperti buatan seorang tukang campur rempah-rempah; itulah yang harus menjadi minyak urapan yang kudus.	laju agabay mennya’na upacara, se ecampor akantha mennya’ ro’om.
Haruslah engkau mengurapi dengan itu Kemah Pertemuan dan tabut hukum,	Camporan jareya angguy amennya’e Tang Kemah, Petthe Parjanjiyan,
meja dengan segala perkakasnya, kandil dengan perkakasnya, dan mezbah pembakaran ukupan;	meja ban sakabbinna parlengkabanna, ko’-tongko’na damar ban parlengkabanna, mezba kennengnganna pangobbaranna dupa,
mezbah korban bakaran dengan segala perkakasnya, bejana pembasuhan dengan alasnya.	mezba kennengnganna kurban obbaran ban sakabbinna parlengkabanna, sarta cemmong baddhana aeng ban panongko’anna.
Haruslah kaukuduskan semuanya, sehingga menjadi maha kudus; setiap orang yang kena kepadanya akan menjadi kudus.	Kalaban cara se kantha jareya rang-barang jareya bi’ ba’na ekusussagi kaangguy Sengko’, sopaja kabbi daddiya socce. Apa’a bai se tasedding ka mezba jareya kodu epassra’agi ka Pangeran, ban sapa’a bai se nyedding ka meja jareya bakal calaka’a polana kakowadanna kasocceyanna.
Engkau harus juga mengurapi dan menguduskan Harun dan anak-anaknya supaya mereka memegang jabatan imam bagi-Ku.	Harun ban na’-ana’na mennya’e keya, ban tahbissagi padaddi imam se aladinana Sengko’.
Dan kepada orang Israel haruslah kaukatakan demikian: Inilah yang harus menjadi minyak urapan yang kudus bagi-Ku di antara kamu turun-temurun.	Kabala ka bangsa Isra’il ja’ mennya’ opacara jareya salanjangnga pera’ eangguy e dhalem aladine Sengko’ malolo.
Kepada badan orang biasa janganlah minyak itu dicurahkan, dan janganlah kaubuat minyak yang semacam itu dengan memakai campuran itu juga: itulah minyak yang kudus, dan haruslah itu kudus bagimu.	Mennya’ jareya ta’ olle selen ka reng-oreng biyasa. Ja’ agabay mennya’ se ngangguy camporan kantha jareya keya. Mennya’ jareya socce ban kodu eanggep barang se socce.
Orang yang mencampur rempah-rempah menjadi minyak yang semacam itu atau yang membubuhnya pada badan orang awam, haruslah dilenyapkan dari antara bangsanya."	Oreng se agabay mennya’ kantha jareya, otabana ngangguy mennya’ jareya kaangguy oreng se banne imam, ta’ eanggep anggotana Tang ommat pole."
Berfirmanlah TUHAN kepada Musa: "Ambillah wangi-wangian, yakni getah damar, kulit lokan dan getah rasamala, wangi-wangian itu serta kemenyan yang tulen, masing-masing sama banyaknya.	Dhabuna PANGERAN ka Mosa, "Ngala’ racegan acem-macem papadha bannya’na, iya areya gettana karet, kole’na lokan, gettana rasamala ban dupa se morne.
Semuanya ini haruslah kaubuat menjadi ukupan, suatu campuran rempah-rempah, seperti buatan seorang tukang campur rempah-rempah, digarami, murni, kudus.	Jareya campor kabbi, kagabay dupa se ro’om. Tambai buja sopaja dupa jareya pagguna morne ban socce.
Sebagian dari ukupan itu haruslah kaugiling sampai halus, dan sedikit dari padanya kauletakkanlah di hadapan tabut hukum di dalam Kemah Pertemuan, di mana Aku akan bertemu dengan engkau; haruslah itu maha kudus bagimu.	Sabagiyan dhari dupa jareya kodu etoto paalos. Giba ka Tang Kemah, laju tabur e adha’anna Petthe Parjanjiyan. Dupa jareya kodu eanggep barang se socce se malolo eangguy e dhalem aladine Sengko’.
Dan tentang ukupan yang harus kaubuat menurut campuran yang seperti itu juga janganlah kamu buat bagi kamu sendiri; itulah bagian untuk TUHAN, yang kudus bagimu.	Ja’ agabay dupa se camporanna padha ban jareya kaangguy kaparlowanna ba’na dibi’.
Orang yang akan membuat minyak yang semacam itu dengan maksud untuk menghirup baunya, haruslah dilenyapkan dari antara bangsanya."	Sapa se agabay dupa kantha jareya kaangguy om-ro’om, ta’ eanggep anggotana Tang ommat pole."
	
"Inilah yang harus kaulakukan kepada mereka, untuk menguduskan mereka, supaya mereka memegang jabatan imam bagi-Ku: Ambillah seekor lembu jantan muda dan dua ekor domba jantan yang tidak bercela,	"Kantha reya carana mon atahbissagiya Harun ban na’-ana’na sopaja ngennenga daddi imam se aladinana Sengko’. Ngala’ sape lalake’ se gi’ ngodha settong ban dumba lalake’ dhadhuwa’ se padha tadha’ calena.
roti yang tidak beragi dan roti bundar yang tidak beragi, yang diolah dengan minyak, dan roti tipis yang tidak beragi, yang diolesi dengan minyak; dari tepung gandum yang terbaik haruslah kaubuat semuanya itu.	Agabay adunna roti se ta’ eragi’i dhari teppong darigu se paleng bagus. Sabagiyan dhari adun jareya kagabay roti se ngangguy mennya’ jaitun, se sabagiyanna ta’ osa ngangguy mennya’ jaitun, ban karena kagabay jajan se ebulidi mennya’.
Kautaruhlah semuanya dalam sebuah bakul dan kaupersembahkanlah semuanya dalam bakul itu, demikian juga lembu jantan dan kedua domba jantan itu.	Pas baddhai cettheng, atorragi ka Sengko’ pabareng ban kurban sape lalake’ ban dumba se dhadhuwa’ gella’.
Lalu kausuruhlah Harun dan anak-anaknya datang ke pintu Kemah Pertemuan dan haruslah engkau membasuh mereka dengan air.	Harun ban na’-ana’na soro entar ka labangnga Tang Kemah pas soro mandhi noro’ atoranna agama.
Kemudian kauambillah pakaian itu, lalu kaukenakanlah kepada Harun kemeja, gamis baju efod, dan baju efod serta tutup dada; kaukebatkanlah sabuk baju efod kepadanya;	Harun pangangguy angguyya imam, iya areya: kameja, efod, juba se notobi efod, totobba dhadha ban sabbu’.
kautaruhlah serban di kepalanya dan jamang yang kudus kaububuh pada serban itu.	Surbanna pasang e cethagga, e surban jareya pasange jamang dhari emmas se eokere tolesan ‘Kaangguy PANGERAN malolo’.
Sesudah itu kauambillah minyak urapan dan kautuang ke atas kepalanya, dan kauurapilah dia.	Pas ngala’ mennya’ opacara, selennagi ka cethagga, mennya’agi.
Kausuruhlah anak-anaknya mendekat dan kaukenakanlah kemeja-kemeja itu kepada mereka.	Saellana jareya olok na’-ana’na, pangangguy kameja ban sabbu’,
Kauikatkanlah ikat pinggang kepada mereka, kepada Harun dan anak-anaknya, dan kaulilitkanlah destar itu kepada kepala mereka, maka merekalah yang akan memegang jabatan imam; itulah suatu ketetapan untuk selama-lamanya. Demikianlah engkau harus mentahbiskan Harun dan anak-anaknya.	sarta pangangguy surban. Kantha jareya carana mon atahbissagiya Harun ban na’-ana’na. Harun ban na’-ana’na jareya sarta ban na’ potona kodu daddi imam se aladinana Sengko’ salanjangnga.
Kemudian haruslah kaubawa lembu jantan itu ke depan Kemah Pertemuan, lalu haruslah Harun dan anak-anaknya meletakkan tangannya ke atas kepala lembu jantan itu.	Saellana jareya budhu’na sape se lalake’ gella’ giba ka adha’anna Tang Kemah. Harun ban na’-ana’na kodu nompangngagi tanangnga e cethagga keban jareya.
Haruslah kausembelih lembu jantan itu di hadapan TUHAN di depan pintu Kemah Pertemuan.	Sape jareya sambelli e adha’anna Sengko’, e labangnga Kemah.
Haruslah kauambil sedikit dari darah lembu jantan itu dan kaububuh dengan jarimu pada tanduk-tanduk mezbah, dan segala darah selebihnya haruslah kaucurahkan pada bagian bawah mezbah.	Sabagiyan dharana sape jareya kala’, buliddagi ka dhu’-tandhu’na mezba jareya ngangguy garigi’na. Karena dharana totta’ ka bagiyan babana mezba.
Kemudian kauambillah segala lemak yang menutupi isi perut, umbai hati, kedua buah pinggang dan segala lemak yang melekat padanya, dan kaubakarlah di atas mezbah.	Saellana jareya kala’ kabbi gaji se notobi essena tabu’na, bagiyan se paleng bagus dhari atena ban bingselanna se dhadhuwa’ bi’ gajina, jareya kabbi saba’ e attassa mezba, laju obbar menangka tor-ator ka Sengko’.
Tetapi daging lembu jantan itu, kulitnya dan kotorannya haruslah kaubakar habis dengan api di luar perkemahan, itulah korban penghapus dosa.	Daging, kole’ ban perro’na sape lalake’ gella’ kodu obbar e lowaranna parkemahan. Jareya tor-ator kaangguy pangamponanna dusana para imam.
