Peliharalah kasih persaudaraan!	Sampeyan kodu saleng taresna menangka reng-oreng Kristen se ataretanan.
Karena iman maka ia telah meninggalkan Mesir dengan tidak takut akan murka raja. Ia bertahan sama seperti ia melihat apa yang tidak kelihatan.	Polana kaagungan iman Mosa adinggallagi Messer, ta’ tako’ ka babendunna rato. Mosa terros nojju ka tojjuwanna, akadi se ampon ngoladi Allah se ta’ katengal ka’issa’.
Karena iman maka ia mengadakan Paskah dan pemercikan darah, supaya pembinasa anak-anak sulung jangan menyentuh mereka.	Polana imanna, Mosa mabadha Paska ban makon oreng ngetessagi dhara ka labangnga compo’na oreng Isra’il sopaja Malaekat Maot ta’ mate’e ana’ sareyangnga reng-oreng Isra’il ganeka.
Karena iman maka mereka telah melintasi Laut Merah sama seperti melintasi tanah kering, sedangkan orang-orang Mesir tenggelam, ketika mereka mencobanya juga.	Polana gadhuwan iman reng-oreng Isra’il bisa alengka Tase’ Galagas, akadi se ajalan e tana se kerreng, dineng reng-oreng Messer eontal tase’ ganeka e bakto ngoddi alengka’a tase’ ganeka.
Karena iman maka runtuhlah tembok-tembok Yerikho, setelah kota itu dikelilingi tujuh hari lamanya.	Polana gadhuwan iman reng-oreng Isra’il magujur gar-pagar batona Yerikho saamponna ngalenglenge pagar ganeka pettong are abidda.
Karena iman maka Rahab, perempuan sundal itu, tidak turut binasa bersama-sama dengan orang-orang durhaka, karena ia telah menyambut pengintai-pengintai itu dengan baik.	Jugan polana gadhuwan iman, sondel se anyama Rahab ta’ noro’ epate’e sareng reng-oreng laenna se alaban ka Allah, sabab Rahab ganeka narema kalaban sae reng-oreng Isra’il se nyendhemme mosona.
Dan apakah lagi yang harus aku sebut? Sebab aku akan kekurangan waktu, apabila aku hendak menceriterakan tentang Gideon, Barak, Simson, Yefta, Daud dan Samuel dan para nabi,	Daddi kaula bisa saos terros acaca, nangeng bakto kaula ta’ cokop. Sabab kaula gi’ ta’ but-nyebbut parkara Gideyon, Barak, Simson, Yefta, Daud, Samuwel sareng bi-nabbi.
yang karena iman telah menaklukkan kerajaan-kerajaan, mengamalkan kebenaran, memperoleh apa yang dijanjikan, menutup mulut singa-singa,	Polana kaagungan iman, reng-oreng ganeka makala karaja’an-karaja’an. Reng-oreng ganeka alampa’agi pa-ponapa se lerres, kantos narema ponapa se ejanjiyagi Allah. Reng-oreng ganeka adunggem colo’na macan,
memadamkan api yang dahsyat. Mereka telah luput dari mata pedang, telah beroleh kekuatan dalam kelemahan, telah menjadi kuat dalam peperangan dan telah memukul mundur pasukan-pasukan tentara asing.	mate’e apoy se ce’ rajana, lopot dhari peddhang se ecocowagi ka salerana. Reng-oreng ganeka ta’ kaagungan kakowadan, nangeng daddi kowat; gaga’ parjuga e dhalem paperrangan kantos makala kan-pasukanna bangsa manca.
Ibu-ibu telah menerima kembali orang-orangnya yang telah mati, sebab dibangkitkan. Tetapi orang-orang lain membiarkan dirinya disiksa dan tidak mau menerima pembebasan, supaya mereka beroleh kebangkitan yang lebih baik.	Polana imanna, babine’an narema pole la-balana se ampon seda. Badha pole se ehlas eseksa kantos seda, ban ta’ poron epabebas, polana terro epaodhi’a pole kaangguy settong kaodhi’an se lebbi sae.
Ada pula yang diejek dan didera, bahkan yang dibelenggu dan dipenjarakan.	Badha se eco-koco, epeccodi, erantay ban epamaso’ ka penjara.
Mereka dilempari, digergaji, dibunuh dengan pedang; mereka mengembara dengan berpakaian kulit domba dan kulit kambing sambil menderita kekurangan, kesesakan dan siksaan.	Reng-oreng ganeka egarujuk sareng bato kantos seda, badha se eketthok sareng gargaji ban se epate’e sareng peddhang. Reng-oreng ganeka alalana ngagem kole’na dumba otaba kole’na embi’; reng-oreng ganeka mesken, ekaneyaja sareng eseksa.
Dunia ini tidak layak bagi mereka. Mereka mengembara di padang gurun dan di pegunungan, dalam gua-gua dan celah-celah gunung.	Dunnya paneka banne kennengngan se pantes monggu ka reng-oreng ganeka. Reng-oreng ganeka alalana e ra-ara sareng e mo’-gumo’, enneng e wa-guwa ban e bang-lobang e dhalem tana.
Dan mereka semua tidak memperoleh apa yang dijanjikan itu, sekalipun iman mereka telah memberikan kepada mereka suatu kesaksian yang baik.	Saponapa rajana kamennangan se ekaolle reng-oreng ganeka polana imanna! Nangeng reng-oreng ganeka ta’ narema ponapa se ejanjiyagi Allah,
Sebab Allah telah menyediakan sesuatu yang lebih baik bagi kita; tanpa kita mereka tidak dapat sampai kepada kesempurnaan.	sabab Allah kaagungan rancana se lebbi sae kaangguy sampeyan sareng kaula sadaja. Rancana gapaneka enggi paneka ja’ reng-oreng ganeka bakal daddiya samporna coma asareng sampeyan sareng kaula sadaja.
Di dalam hukum Taurat hanya terdapat bayangan saja dari keselamatan yang akan datang, dan bukan hakekat dari keselamatan itu sendiri. Karena itu dengan korban yang sama, yang setiap tahun terus-menerus dipersembahkan, hukum Taurat tidak mungkin menyempurnakan mereka yang datang mengambil bagian di dalamnya.	Hokomma agama Yahudi pera’ aberri’ gambaran se mar-samar parkara sadaja se bagus se bakal dhatengnga, ban banne gambaran se saongguna parkara gapaneka sadaja. Hokom ganeka ta’ kera bisa masamporna oreng se entar nyemba ka Allah kalaban abakta tor-ator, sanare sabban taon terros eatorragi ban-kurban se padha.
Sebab jika hal itu mungkin, pasti orang tidak mempersembahkan korban lagi, sebab mereka yang melakukan ibadah itu tidak sadar lagi akan dosa setelah disucikan sekali untuk selama-lamanya.	Ja’ sakenga reng-oreng se nyemba ka Allah ganeka ampon epaberse dhari dusana, tanto ta’ kera andhi’ rassa dusa pole, ban ta’ kera badha kurban se eatorragi pole.
Tetapi justru oleh korban-korban itu setiap tahun orang diperingatkan akan adanya dosa.	Nangeng nyatana ban-kurban se eatorragi sabban taon ganeka maenga’ reng-oreng ganeka ka sa-dusana,
Sebab tidak mungkin darah lembu jantan atau darah domba jantan menghapuskan dosa.	sabab pajat dharana sape sareng dharana embi’ lake’ ta’ bisa maelang dusa.
Karena itu ketika Ia masuk ke dunia, Ia berkata: "Korban dan persembahan tidak Engkau kehendaki--tetapi Engkau telah menyediakan tubuh bagiku--.	Ganeka sababba e bakto Almasih maso’ ka dunnya, Salerana mator ka Allah, "Junandalem ta’ kasokan ka kurban sareng tor-ator; sabaligga Junandalem nyadhiya’agi badan kaangguy Abdidalem.
Kepada korban bakaran dan korban penghapus dosa Engkau tidak berkenan.	Junandalem ta’ kasokan ka kurban obbaran otabana kurban kaangguy palebbaranna dusa.
Lalu Aku berkata: Sungguh, Aku datang; dalam gulungan kitab ada tertulis tentang Aku untuk melakukan kehendak-Mu, ya Allah-Ku."	Abdidalem laju mator, ‘Ka’dhinto’ Abdidalem, Guste Allah! Abdidalem dhateng ajalannagiya kasokanna Junandalem, akadi se etoles e dhalem Alketab parkara Abdidalem.’"
Di atas Ia berkata: "Korban dan persembahan, korban bakaran dan korban penghapus dosa tidak Engkau kehendaki dan Engkau tidak berkenan kepadanya" --meskipun dipersembahkan menurut hukum Taurat--.	Dha’-adha’na Almasih adhabu, "Junandalem ta’ kasokan ka kurban sareng tor-ator; Junandalem ta’ kasokan ka kurban se eobbar menangka tor-ator sareng kurban kaangguy palebbaranna dusa." Almasih adhabu sapaneka, sanare sadajana kurban ganeka eatorragi menorot hokomma agama Yahudi.
Dan kemudian kata-Nya: "Sungguh, Aku datang untuk melakukan kehendak-Mu." Yang pertama Ia hapuskan, supaya menegakkan yang kedua.	Saamponna ganeka Almasih adhabu, "Ka’dhinto’ Abdidalem, Guste Allah! Abdidalem dhateng ajalannagiya kasokanna Junandalem." Daddi Allah matadha’ sakabbiyanna kurban se laju jareya, egante’e bi’ kurbanna Almasih.
Dan karena kehendak-Nya inilah kita telah dikuduskan satu kali untuk selama-lamanya oleh persembahan tubuh Yesus Kristus.	Isa Almasih ampon alampa’agi ponapa se ekasokane Allah ban ngatorragi Salerana dibi’ menangka kurban. Kalaban tor-ator ganeka, se elampa’agi coma sakaleyan kaangguy salanjangnga, sampeyan sareng kaula sadaja ampon epaberse dhari dusa.
Selanjutnya setiap imam melakukan tiap-tiap hari pelayanannya dan berulang-ulang mempersembahkan korban yang sama, yang sama sekali tidak dapat menghapuskan dosa.	Saneyap imam Yahudi alampa’agi lalakonna menangka imam sabban are, ban li-baliyan ngatorragi kurban se padha. Nangeng ban-kurban ganeka ta’ bisa maelang dusa sakale.
Tetapi Ia, setelah mempersembahkan hanya satu korban saja karena dosa, Ia duduk untuk selama-lamanya di sebelah kanan Allah,	Sabaligga, Almasih coma ngatorragi kurban sakaleyan kaangguy maelang dusa, ban kurban ganeka eangguy salanjangnga. Saamponna ngatorragi kurban ganeka, Almasih alenggi e kanganna Allah ban marenta asareng Salerana.
dan sekarang Ia hanya menantikan saatnya, di mana musuh-musuh-Nya akan dijadikan tumpuan kaki-Nya.	Ban samangken Almasih anante’ kantos Allah matellok so-mosona ka Salerana.
Sebab oleh satu korban saja Ia telah menyempurnakan untuk selama-lamanya mereka yang Ia kuduskan.	Daddi kalaban settong kurban, Almasih manyamporna reng-oreng se ampon epaberse dhari dusa.
Dan tentang hal itu Roh Kudus juga memberi kesaksian kepada kita,	Parkara gapaneka Errohna Allah apareng jugan kasakseyan ka sampeyan sareng kaula sadaja. Dhabuna Erroh ganeka,
sebab setelah Ia berfirman: "Inilah perjanjian yang akan Kuadakan dengan mereka sesudah waktu itu," Ia berfirman pula: "Aku akan menaruh hukum-Ku di dalam hati mereka dan menuliskannya dalam akal budi mereka,	"‘Areya’ parjanjiyan se epabadha’a Sengko’ ban reng-oreng jareya, e re-are se bakal dhatengnga,’ dhabuna Pangeran. ‘Sengko’ nyaba’a Tang kom-hokom e atena reng-oreng jareya, etolesa e dhalem pekkeranna.’"
dan Aku tidak lagi mengingat dosa-dosa dan kesalahan mereka."	Allah jugan adhabu, "Sengko’ ta’ ngenga’ana pole sa-dusana ban kajahadan-kajahadanna reng-oreng jareya."
Jadi apabila untuk semuanya itu ada pengampunan, tidak perlu lagi dipersembahkan korban karena dosa.	Daddi sa-dusa ban kajahadan-kajahadan gapaneka ampon esapora, daddi ta’ parlo pole eatorragi ban-kurban palebbaranna dusa.
Jadi, saudara-saudara, oleh darah Yesus kita sekarang penuh keberanian dapat masuk ke dalam tempat kudus,	Daddi, tan-taretan, lantaran sedana Isa ganeka sampeyan sareng kaula sadaja bangal maso’ ka Kennengngan Se Mahasocce.
karena Ia telah membuka jalan yang baru dan yang hidup bagi kita melalui tabir, yaitu diri-Nya sendiri,	Isa ampon mokka’agi lorong se anyar kaangguy sampeyan sareng kaula sadaja, enggi paneka jalan se apareng kaodhi’an. Jalan ganeka lebat e bir-tabir, enggi paneka badanna Almasih dibi’.
dan kita mempunyai seorang Imam Besar sebagai kepala Rumah Allah.	Ban samangken sampeyan sareng kaula sadaja gadhuwan imam se agung, se atanggung jawab parkara Padalemman Socce.
Karena itu marilah kita menghadap Allah dengan hati yang tulus ikhlas dan keyakinan iman yang teguh, oleh karena hati kita telah dibersihkan dari hati nurani yang jahat dan tubuh kita telah dibasuh dengan air yang murni.	Daddi, ngereng samangken padha nyander ka Allah kalaban ate se berse ban iman se koko; kalaban ate se ampon esocce’e dhari parasa’an sala, sarta kalaban badan se ampon eberse’e bi’ aeng se morne.
Marilah kita teguh berpegang pada pengakuan tentang pengharapan kita, sebab Ia, yang menjanjikannya, setia.	Tore padha pakoko neggu’i pangarebban se eakone sampeyan sareng kaula, sabab Allah ekenneng parcaja sarta tanto neptebbi janjina.
Dan marilah kita saling memperhatikan supaya kita saling mendorong dalam kasih dan dalam pekerjaan baik.	Jugan sampeyan sareng kaula sadaja kodu padha saleng mekkere, saleng maraja ate kaangguy neser ka sasama ban ngalakone pa-ponapa se sae.
Janganlah kita menjauhkan diri dari pertemuan-pertemuan ibadah kita, seperti dibiasakan oleh beberapa orang, tetapi marilah kita saling menasihati, dan semakin giat melakukannya menjelang hari Tuhan yang mendekat.	Tore papaggun akompol areng-sareng, ja’ entheng akadi oreng laen. La’-mala’ sampeyan sareng kaula sadaja kodu padha saleng maraja ate, sabab sampeyan oneng ja’ Pangeran para’ rabuwa.
Sebab jika kita sengaja berbuat dosa, sesudah memperoleh pengetahuan tentang kebenaran, maka tidak ada lagi korban untuk menghapus dosa itu.	Sabab mon berta se lerres dhari Allah ampon epanapa’ ka sampeyan sareng kaula sadaja, nangeng sampeyan sareng kaula sadaja gi’ terros nengnget agabay dusa, tadha’ kurban pole kaangguy malebbar dusa.
Tetapi yang ada ialah kematian yang mengerikan akan penghakiman dan api yang dahsyat yang akan menghanguskan semua orang durhaka.	Se gi’ badha kaangguy sampeyan sareng kaula sadaja namong kare ngadhebbana pangadilanna Allah sareng apoy babendunna se bakal ngobbara reng-oreng se alaban ka Salerana epasampe’ tadha’ karena!
Jika ada orang yang menolak hukum Musa, ia dihukum mati tanpa belas kasihan atas keterangan dua atau tiga orang saksi.	Oreng se ta’ ta’at ka hokom se eparengngagi Mosa, eokom mate tadha’ tabaranna, manabi badha sakse kadhuwa otaba katello se abukteyagi salana.
Betapa lebih beratnya hukuman yang harus dijatuhkan atas dia, yang menginjak-injak Anak Allah, yang menganggap najis darah perjanjian yang menguduskannya, dan yang menghina Roh kasih karunia?	Saponapa lebbi berra’ pole okoman se kodu eteba’agi ka oreng se nyek-ngenyek Pottrana Allah. Oreng ganeka nganggep ta’ aji dharana parjanjiyanna Allah, enggi paneka sedana Almasih se maberse aba’na dhari dusa. Oreng ganeka ya-nyeya Erroh se apareng rahmat.
Sebab kita mengenal Dia yang berkata: "Pembalasan adalah hak-Ku. Akulah yang akan menuntut pembalasan." Dan lagi: "Tuhan akan menghakimi umat-Nya."	Sampeyan sareng kaula sadaja oneng pasera se adhabu, "Sengko’ malessa! Sengko’ ngokoma!" sapaneka jugan se adhabu, "Pangeran ahakimana ommadda."
Ngeri benar, kalau jatuh ke dalam tangan Allah yang hidup.	Marengessa mon kantos eokom Allah Se Odhi’!
Ingatlah akan masa yang lalu. Sesudah kamu menerima terang, kamu banyak menderita oleh karena kamu bertahan dalam perjuangan yang berat,	Kaemodi kadi ponapa kabadha’anna sampeyan sadaja gi’ dhimen. E bakto ganeka, saamponna cajana Allah nyonare sampeyan, sampeyan bannya’ nanggung kasossa’an, nangeng sampeyan terros abuwang ce’ tarongguna.
baik waktu kamu dijadikan tontonan oleh cercaan dan penderitaan, maupun waktu kamu mengambil bagian dalam penderitaan mereka yang diperlakukan sedemikian.	Dhang-kadhang sampeyan eya-seya ban elakone sacara ta’ sae e adha’na oreng bannya’. Dhang-kadhang sampeyan jugan noro’ nanggung kasossa’an sareng reng-oreng se eparlakowagi pasapaneka,
Memang kamu telah turut mengambil bagian dalam penderitaan orang-orang hukuman dan ketika harta kamu dirampas, kamu menerima hal itu dengan sukacita, sebab kamu tahu, bahwa kamu memiliki harta yang lebih baik dan yang lebih menetap sifatnya.	ban sampeyan noro’ ngarassa’agi sossana oreng se epenjara. Ban e bakto sadajana dhi’-andhi’na sampeyan erampas, ganeka bi’ sampeyan etarema kalaban ate senneng, sabab sampeyan oneng ja’ sampeyan gi’ dhi’-andhi’ se abagusan, se bakal ta’ rosaga salanjangnga.
Sebab itu janganlah kamu melepaskan kepercayaanmu, karena besar upah yang menantinya.	Daddi sampeyan ja’ pegga’ pangarep, sabab mon sampeyan paggun parcaja, sampeyan bakal narema’a opana se raja!
Sebab kamu memerlukan ketekunan, supaya sesudah kamu melakukan kehendak Allah, kamu memperoleh apa yang dijanjikan itu.	Sampeyan kodu sabbar, me’ olle bisa alampa’agi kasokanna Allah ban narema ponapa se ejanjiyagi Salerana.
"Sebab sedikit, bahkan sangat sedikit waktu lagi, dan Ia yang akan datang, sudah akan ada, tanpa menangguhkan kedatangan-Nya.	Sabab e dhalem Alketab esebbuttagi, "Sakejja’ aggi’ bai, Salerana se rabuwa jareya tanto duli rabu; Salerana ta’ kera rot-manyorot baktona.
Tetapi orang-Ku yang benar akan hidup oleh iman, dan apabila ia mengundurkan diri, maka Aku tidak berkenan kepadanya."	Ban Tang ommat se bendher bakal parcaja’a ban bakal odhi’a; nangeng mon badha e antarana se nyorot, oreng jareya bi’ Sengko’ ta’ ekaleburana."
Tetapi kita bukanlah orang-orang yang mengundurkan diri dan binasa, tetapi orang-orang yang percaya dan yang beroleh hidup.	Sampeyan sareng kaula sadaja banne ommat se nyorot ban nyaleyot. Sabaligga, sampeyan sareng kaula sadaja paneka ommat se parcaja ka Allah ban se epasalamet.
Memang perjanjian yang pertama juga mempunyai peraturan-peraturan untuk ibadah dan untuk tempat kudus buatan tangan manusia.	Parjanjiyan se dha’-adha’ aesse atoran-atoranna kabakteyan, jugan gadhuwan kennengnganna kabakteyan gabayanna manossa.
Sebab ada dipersiapkan suatu kemah, yaitu bagian yang paling depan dan di situ terdapat kaki dian dan meja dengan roti sajian. Bagian ini disebut tempat yang kudus.	Epaddek settong kemah se bagiyan adha’na enyamae Kennengngan Se Socce. E gadhiya badha ko’-tongko’na damar, ban badha jugan meja sareng roti se eatorragi ka Allah.
Di belakang tirai yang kedua terdapat suatu kemah lagi yang disebut tempat yang maha kudus.	E bagiyan dhalemma, enggi paneka e budhiyanna bir-tabir se nomer dhuwa’, badha kennengngan se enyamae Kennengngan Se Mahasocce.
Di situ terdapat mezbah pembakaran ukupan dari emas, dan tabut perjanjian, yang seluruhnya disalut dengan emas; di dalam tabut perjanjian itu tersimpan buli-buli emas berisi manna, tongkat Harun yang pernah bertunas dan loh-loh batu yang bertuliskan perjanjian,	E dhalemmanna kennengngan ganeka badha mezba dhari emmas kennengnganna pangobbaranna dupa, ban badha jugan Petthe Parjanjiyan se ekole’e emmas sadajana. E dhalemmanna Petthe Parjanjiyan ganeka badha pennay emmas aesse manna, tongkedda Harun se ampon nyelbi’, ban papan bato dhadhuwa’ se atoles papakonna Allah se sapolo.
dan di atasnya kedua kerub kemuliaan yang menaungi tutup pendamaian. Tetapi hal ini tidak dapat kita bicarakan sekarang secara terperinci.	E attassa Petthe ganeka badha Kerub dhadhuwa’, enggi paneka mahlok se akalembang se alambangngagi kahadiranna Allah. Kalembangnga mahlok se dhadhuwa’ ganeka menthang e attassa totobba Petthe, enggi paneka kennengnganna pangamponanna dusa. Nangeng ganeka sadaja ta’ bisa ebirji’ eterrangngagi samangken.
Demikianlah caranya tempat yang kudus itu diatur. Maka imam-imam senantiasa masuk ke dalam kemah yang paling depan itu untuk melakukan ibadah mereka,	Daddi sadajana eator kadi ganeka. Sabban are mam-imam maso’ ka bagiyan adha’na kemah ganeka kaangguy ajalannagi lalakonna.
tetapi ke dalam kemah yang kedua hanya Imam Besar saja yang masuk sekali setahun, dan harus dengan darah yang ia persembahkan karena dirinya sendiri dan karena pelanggaran-pelanggaran, yang dibuat oleh umatnya dengan tidak sadar.	Se maso’ ka bagiyan paleng dhalem coma imam agung malolo. Imam agung se maso’ ka bagiyan ganeka pera’ sataon sakaleyan. Mon maso’ sambi abakta dhara kaangguy eatorragi ka Allah polana dusana aba’epon dibi’ ban polana sa-dusa se ta’ etengnget elakone ommadda.
Dengan ini Roh Kudus menyatakan, bahwa jalan ke tempat yang kudus itu belum terbuka, selama kemah yang pertama itu masih ada.	Kalaban atoran ganeka, Errohna Allah noduwagi kalaban terrang, ja’ saabidda kemah bagiyan adha’ ganeka gi’ manjeng, jalan kaangguy maso’ ka Kennengngan Se Mahasocce ka’issa’ gi’ ta’ abukka’.
Itu adalah kiasan masa sekarang. Sesuai dengan itu dipersembahkan korban dan persembahan yang tidak dapat menyempurnakan mereka yang mempersembahkannya menurut hati nurani mereka,	Ganeka menangka lambangnga jaman samangken; artena ja’ tor-ator sarta ban-kurban keban se eatorragi ka Allah, ta’ bisa masamporna atena oreng se ngeba tor-ator.
karena semuanya itu, di samping makanan minuman dan pelbagai macam pembasuhan, hanyalah peraturan-peraturan untuk hidup insani, yang hanya berlaku sampai tibanya waktu pembaharuan.	Sabab opacara-opacara ganeka pera’ aropa teddha’an, nom-enoman ban opacara panyocceyan se acem-macem. Sadaja namong atoran-atoran laher se eangguy coma sampe’ gan baktona Allah nganyare parjanjiyan.
Tetapi Kristus telah datang sebagai Imam Besar untuk hal-hal yang baik yang akan datang: Ia telah melintasi kemah yang lebih besar dan yang lebih sempurna, yang bukan dibuat oleh tangan manusia, --artinya yang tidak termasuk ciptaan ini, --	Nangeng Almasih ampon rabu menangka Imam Agung dhari sadajana parkara se sae se ampon badha. Kemah Socce se ekennengnge Salerana alampa’agi lalakonna menangka Imam Agung enggi paneka kemah se lebbi agung sareng lebbi samporna. Kemah ganeka banne gabayanna manossa; artena, asalla banne dhari dunnya cepta’an paneka.
dan Ia telah masuk satu kali untuk selama-lamanya ke dalam tempat yang kudus bukan dengan membawa darah domba jantan dan darah anak lembu, tetapi dengan membawa darah-Nya sendiri. Dan dengan itu Ia telah mendapat kelepasan yang kekal.	Almasih maso’ ka dhalem Kennengngan Se Mahasocce e dhalem kemah ganeka pera’ sakaleyan kaangguy salanjangnga. E bakto ganeka Salerana ta’ abakta dharana embi’ lake’ otabana dharana empe’ kaangguy tor-ator; se ebakta dharana dibi’, ban cara ganeka mabebas sampeyan sareng kaula kaangguy salanjangnga.
Sebab, jika darah domba jantan dan darah lembu jantan dan percikan abu lembu muda menguduskan mereka yang najis, sehingga mereka disucikan secara lahiriah,	Dharana embi’ sareng sape lake’ sarta abuna kurbanna empe’, eketessagi ka reng-oreng se najjis menorot atoranna agama sopaja reng-oreng ganeka berse. Daddi, mon dhara sareng abu ganeka bisa maberse kanajjisanna reng-oreng ganeka,
betapa lebihnya darah Kristus, yang oleh Roh yang kekal telah mempersembahkan diri-Nya sendiri kepada Allah sebagai persembahan yang tak bercacat, akan menyucikan hati nurani kita dari perbuatan-perbuatan yang sia-sia, supaya kita dapat beribadah kepada Allah yang hidup.	ponapa pole dharana Almasih! Kalaban parantara’anna Erroh se langgeng, Almasih ngatorragi Salerana dibi’ ka Allah menangka kurban se samporna. Dharana maberse atena sampeyan sareng kaula sadaja dhari opacarana agama se tadha’ gunana, sopaja sampeyan sareng kaula sadaja bisa aladine Allah se odhi’.
Karena itu Ia adalah Pengantara dari suatu perjanjian yang baru, supaya mereka yang telah terpanggil dapat menerima bagian kekal yang dijanjikan, sebab Ia telah mati untuk menebus pelanggaran-pelanggaran yang telah dilakukan selama perjanjian yang pertama.	Ganeka sababba Almasih daddi Pangantara kaangguy settong parjanjiyan se anyar, sopaja oreng se ampon etembali Allah bisa narema kat-berkat se langgeng se ampon ejanjiyagi Allah. Ganeka sadaja bisa kalakon sabab ampon badha se seda, enggi paneka Almasih; ban sedana Almasih ganeka mabebas oreng dhari kasala’an-kasala’anna se elakone reng-oreng ganeka e bakto parjanjiyan se dha’-adha’ gi’ eangguy.
Sebab di mana ada wasiat, di situ harus diberitahukan tentang kematian pembuat wasiat itu.	Mon badha sorat sangkolan, kodu badha buktena ja’ se abadhi sorat ganeka ampon seda.
Karena suatu wasiat barulah sah, kalau pembuat wasiat itu telah mati, sebab ia tidak berlaku, selama pembuat wasiat itu masih hidup.	Sabab sorat sangkolan ta’ ekenneng angguy mon orengnga se noles gi’ odhi’. Sorat ganeka ekenneng angguy mon orengnga ampon seda.
Itulah sebabnya, maka perjanjian yang pertama tidak disahkan tanpa darah.	Lantaran ganeka parjanjiyan se kapeng settong jugan kodu eessa’agi sareng dhara.
Sebab sesudah Musa memberitahukan semua perintah hukum Taurat kepada seluruh umat, ia mengambil darah anak lembu dan darah domba jantan serta air, dan bulu merah dan hisop, lalu memerciki kitab itu sendiri dan seluruh umat,	Dha’-adha’na Mosa manapa’ sadajana papakonna hokomma Allah ka bangsa Isra’il. Saamponna ganeka Mosa mondhut dharana empe’ ban dharana embi’ lake’, pas ecampor sareng aeng, saamponna ganeka laju eketessagi ka Ketab Kom-hokom dhari Allah ban ka sadajana bangsa Isra’il ngangguy rebba hisop ban buluna dumba se abarna mera towa.
sambil berkata: "Inilah darah perjanjian yang ditetapkan Allah bagi kamu."	Sambi ngetessagi ganeka Mosa adhabu, "Areya’ dhara se ngessa’agi parjanjiyan dhari Allah se kodu eta’adi bi’ ba’na."
Dan juga kemah dan semua alat untuk ibadah dipercikinya secara demikian dengan darah.	Saamponna ganeka, kalaban cara se padha, Mosa ngetessagi dhara ganeka jugan ka Kemah Socce ban ka sadajana pakakassa kabakteyan.
Dan hampir segala sesuatu disucikan menurut hukum Taurat dengan darah, dan tanpa penumpahan darah tidak ada pengampunan.	Pajat menorot hokomma agama Yahudi, ekenneng koca’ ponapa’a saos epasocce sareng dhara, ban dusa pera’ bisa esapora mon badha dhara se epangalocor.
Jadi segala sesuatu yang melambangkan apa yang ada di sorga haruslah ditahirkan secara demikian, tetapi benda-benda sorgawi sendiri oleh persembahan-persembahan yang lebih baik dari pada itu.	Kalaban cara se kadi ganeka rang-barang se alambangngagi pa-ponapa se e sowarga, parlo esocce’e. Nangeng kaangguy pa-ponapa se badha e sowarga ganeka dibi’ eparlowagi kurban se talebat asaeyan pole.
Sebab Kristus bukan masuk ke dalam tempat kudus buatan tangan manusia yang hanya merupakan gambaran saja dari yang sebenarnya, tetapi ke dalam sorga sendiri untuk menghadap hadirat Allah guna kepentingan kita.	Sabab Almasih ta’ maso’ ka Kennengngan Se Socce gabayanna manossa, se coma alambangngagi Kennengngan Se Socce se sabendherra. Almasih maso’ ka sowarga dibi’; e ka’issa’ Salerana samangken ngadhep Allah kaangguy kaparlowanna sampeyan sareng kaula sadaja.
Dan Ia bukan masuk untuk berulang-ulang mempersembahkan diri-Nya sendiri, sebagaimana Imam Besar setiap tahun masuk ke dalam tempat kudus dengan darah yang bukan darahnya sendiri.	Imam agungnga Yahudi sabban taon maso’ ka Kennengngan Se Mahasocce e Padalemman Socce kalaban abakta dharana keban. Nangeng Almasih ta’ maso’ kaangguy ngatorragiya Salerana li-baliyan.
Sebab jika demikian Ia harus berulang-ulang menderita sejak dunia ini dijadikan. Tetapi sekarang Ia hanya satu kali saja menyatakan diri-Nya, pada zaman akhir untuk menghapuskan dosa oleh korban-Nya.	Sabab manabi sapaneka, ganeka artena Almasih ampon li-baliyan nanggung sangsara sajjegga dunnya ecepta’agi. Nangeng nyatana, samangken e jaman aher paneka, Salerana rabu coma sakaleyan kaangguy maelang dusa kalaban ngurbannagi Salerana dibi’.
Dan sama seperti manusia ditetapkan untuk mati hanya satu kali saja, dan sesudah itu dihakimi,	Allah ampon neptebbagi manossa paneka mate sakaleyan saos ban saamponna ganeka eadili sareng Allah.
demikian pula Kristus hanya satu kali saja mengorbankan diri-Nya untuk menanggung dosa banyak orang. Sesudah itu Ia akan menyatakan diri-Nya sekali lagi tanpa menanggung dosa untuk menganugerahkan keselamatan kepada mereka, yang menantikan Dia.	Sapaneka jugan Almasih namong sakaleyan eatorragi menangka kurban kaangguy maelang sa-dusana oreng sabannya’na. Salerana rabuwa pole kadhukaleyanna, banne kaangguy mamareya orosan dusa, nangeng masalamedda reng-oreng se anante’ rabuna.
Inti segala yang kita bicarakan itu ialah: kita mempunyai Imam Besar yang demikian, yang duduk di sebelah kanan takhta Yang Mahabesar di sorga,	Poko’na sadaja se ekacaca sampeyan sareng kaula paneka enggi paneka: Sampeyan sareng kaula gadhuwan Imam Agung se kadi ka’issa’, se marenta asareng Allah Se Mahaagung e sowarga.
dan yang melayani ibadah di tempat kudus, yaitu di dalam kemah sejati, yang didirikan oleh Tuhan dan bukan oleh manusia.	Salerana ngastane lalakon menangka Imam Agung e Kennengngan Se Mahasocce, enggi paneka e dhalem Kemah Socce se saongguna, se epaddek sareng Pangeran dibi’, banne sareng manossa.
