Tiga tahun lamanya orang tinggal aman dengan tidak ada perang antara Aram dan Israel.	Dhu taon lebbi tadha’ perrang e antarana Isra’il ban Siria.
Tetapi Elia berkata kepadanya: "Janganlah takut, pulanglah, buatlah seperti yang kaukatakan, tetapi buatlah lebih dahulu bagiku sepotong roti bundar kecil dari padanya, dan bawalah kepadaku, kemudian barulah kaubuat bagimu dan bagi anakmu.	"Ampon sampeyan ja’ kobater," dhabuna Eliya ka randha jareya. "Eatore manabi aola’a teddha’an kaangguy sampeyan sareng pottrana. Tape kaula gabayyagi roti ne’-kene’ kaadha’ dhari teppong ban mennya’ ganeka, pas giba ka’anto’.
Sebab beginilah firman TUHAN, Allah Israel: Tepung dalam tempayan itu tidak akan habis dan minyak dalam buli-buli itupun tidak akan berkurang sampai pada waktu TUHAN memberi hujan ke atas muka bumi."	Sabab PANGERAN, Allah se esemba oreng Isra’il adhabu ja’ kobuganna sampeyan bakal pagguna badha teppongnga ban butolla sampeyan bakal pagguna badha mennya’na sampe’ baktona PANGERAN madhateng ojan ka bume."
Lalu pergilah perempuan itu dan berbuat seperti yang dikatakan Elia; maka perempuan itu dan dia serta anak perempuan itu mendapat makan beberapa waktu lamanya.	Randha jareya mangkat norodi dhabuna Elia. Sampe’ pan-barampan are abidda e bengkona randha jareya paggun badha parsadhiya’anna kakanan kaangguy se katello jareya.
Tepung dalam tempayan itu tidak habis dan minyak dalam buli-buli itu tidak berkurang seperti firman TUHAN yang diucapkan-Nya dengan perantaraan Elia.	Ban cocok akantha se edhabuwagi PANGERAN kalaban parantara’anna Eliya, kobuganna jareya paggun aesse teppong ban butolla paggun badha mennya’na.
Sesudah itu anak dari perempuan pemilik rumah itu jatuh sakit dan sakitnya itu sangat keras sampai tidak ada nafasnya lagi.	Ta’ abit saellana jareya ana’na randha jareya sake’. Sajan abit sajan sara sampe’ dhi-budhina mate.
Kata perempuan itu kepada Elia: "Apakah maksudmu datang ke mari, ya abdi Allah? Singgahkah engkau kepadaku untuk mengingatkan kesalahanku dan untuk menyebabkan anakku mati?"	Atorra randha jareya ka Eliya, "Abdina Allah, aponapa abdina me’ epasapaneka sareng panjennengngan? Ponapa panjennengngan rabu ka ka’dhinto maemoda Allah ka dusa abdina, me’ sampe’ ana’ abdina epamate?"
Kata Elia kepadanya: "Berikanlah anakmu itu kepadaku." Elia mengambilnya dari pangkuan perempuan itu dan membawanya naik ke kamarnya di atas, dan membaringkan anak itu di tempat tidurnya.	Saodda Eliya, "Giba ka’anto’ kana’ ganeka." Kana’ lake’ jareya bi’ Eliya epondhut dhari ebuna, pas ebakta ka loteng, ka kamar pangenebbanna. Eliya nyaba’ kana’ jareya e pasareyanna,
Sesudah itu ia berseru kepada TUHAN, katanya: "Ya TUHAN, Allahku! Apakah Engkau menimpakan kemalangan ini atas janda ini juga, yang menerima aku sebagai penumpang, dengan membunuh anaknya?"	pas laju adu’a epakaja, "Adhu, GUSTE Allah, Pangeran kaula, aponapa Junandalem me’ madhateng balai ka’dhinto ka randha ka’dhinto? Abdidalem sareng randha ka’dhinto eparenge ngampong pangenebban, me’ samangken ana’epon epamate sareng Junandalem?"
Lalu ia mengunjurkan badannya di atas anak itu tiga kali, dan berseru kepada TUHAN, katanya: "Ya TUHAN, Allahku! Pulangkanlah kiranya nyawa anak ini ke dalam tubuhnya."	Saellana jareya Eliya napang e attassa kana’ jareya sampe’ tello kale, sambi adu’a, "Adhu, GUSTE Allah, Pangeran kaula, paodhi’agi kana’ ka’dhinto, Guste!"
TUHAN mendengarkan permintaan Elia itu, dan nyawa anak itu pulang ke dalam tubuhnya, sehingga ia hidup kembali.	Pangeran meyarsa du’ana Eliya; kana’ jareya pas anyaba, laju odhi’ pole.
Elia mengambil anak itu; ia membawanya turun dari kamar atas ke dalam rumah dan memberikannya kepada ibunya. Kata Elia: "Ini anakmu, ia sudah hidup!"	Eliya toron dhari kamarra sambi abakta kana’ jareya ka ebuna, pas adhabu, "Neka’ ana’na sampeyan pon odhi’ pole!"
Kemudian kata perempuan itu kepada Elia: "Sekarang aku tahu, bahwa engkau abdi Allah dan firman TUHAN yang kauucapkan itu adalah benar."	Saodda randha jareya, "Samangken abdina oneng panjennengngan abdina Allah, se edhabuwagi panjennengngan lerres dhari PANGERAN!"
Kemudian datanglah firman TUHAN kepada Yehu bin Hanani melawan Baesa, bunyinya:	PANGERAN laju adhabu ka Nabbi Yehu pottrana Hanani, dhabuna, "Panapa’agi Tang pessen reya ka Baesa,
"Oleh karena engkau telah Kutinggikan dari debu dan Kuangkat menjadi raja atas umat-Ku Israel, tetapi engkau telah hidup seperti Yerobeam dan telah menyuruh umat-Ku Israel berdosa, sehingga mereka menimbulkan sakit hati-Ku dengan dosa mereka,	‘Lamba’ ba’na reya banne pa-apa, tape ba’na bi’ Sengko’ la epadaddi pamimpinna Tang ommat Isra’il. Sateya ba’na alako dusa akantha Yerobeyam ban daddi lantaranna ommat Isra’il alako dusa keya, sampe’ Sengko’ peggel.
maka sesungguhnya Aku akan menyapu bersih Baesa dan keluarganya, kemudian Aku akan membuat keluargamu seperti keluarga Yerobeam bin Nebat.	Daddi ba’na sabalana bi’ Sengko’ epamosna’a kabbi epakantha’a Yerobeyam.
Siapa yang mati dari pada Baesa di kota, akan dimakan anjing dan yang mati dari padanya di padang akan dimakan burung yang di udara."	La-balana ba’na se mate e kottha reya bakal ekakana pate’, ban se mate e lowar kottha bakal ekakana mano’.’"
Selebihnya dari riwayat Baesa dan apa yang dilakukannya dan kepahlawanannya, bukankah semuanya itu tertulis dalam kitab sejarah raja-raja Israel? Kemudian Baesa mendapat perhentian bersama-sama dengan nenek moyangnya, dan ia dikuburkan di Tirza. Maka Ela, anaknya, menjadi raja menggantikan dia. Juga dengan perantaraan nabi Yehu bin Hanani firman TUHAN telah datang melawan Baesa dan melawan keluarganya, baik karena segala yang jahat yang telah dilakukannya di mata TUHAN, sehingga ia menimbulkan sakit hati TUHAN dengan perbuatan tangannya, dan dengan demikian menjadi sama seperti keluarga Yerobeam, maupun oleh karena ia telah membunuh Yerobeam.	Pessenna PANGERAN ka Baesa ban la-balana jareya bi’ Nabbi Yehu epanapa’ ka Baesa lantaran Baesa alako dusa ka PANGERAN, sampe’ maduka PANGERAN, banne pera’ polana Baesa la mate’e sakabbinna balana Yerobeyam. Careta laenna parkara Baesa, tamaso’ kapahlawananna la ecathet e dhalem ketab Sajarana To-rato Isra’il. Baesa seda laju esareyagi e Tirza. Ela, pottrana, epagante jumenneng rato.
Dalam tahun kedua puluh enam zaman Asa, raja Yehuda, Ela, anak Baesa, menjadi raja atas Israel di Tirza. Ia memerintah dua tahun lamanya.	E taon se kapeng nem lekor e dhalem pamarenta’anna Rato Asa e Yehuda, Ela pottrana Baesa jumenneng rato e Isra’il. Se marenta e Tirza dhu taon abidda.
Zimri, pegawainya yang menjadi panglima atas setengah dari pasukan kereta, mengadakan persepakatan melawan dia. Ketika ia minum-minum sampai mabuk di Tirza, di rumah Arza yang menjadi kepala istana di Tirza,	Zimri, parwira se ngapalae saparona pasukan kareta, akomplot ngamoso Ela. E settong are e Tirza, Ela nom-ngenoman sampe’ mabu’ e bengkona Arza, kapalana roma tatanggana karaton.
datanglah Zimri, lalu membunuh dia dalam tahun kedua puluh tujuh zaman Asa, raja Yehuda, dan ia menjadi raja menggantikan dia.	Zimri maso’ laju mate’e Ela, saellana jareya pas daddi rato agante Ela. Jareya kadaddiyan e taon se kapeng petto lekor e dhalem pamarenta’anna Rato Asa e Yehuda.
Pada waktu ia menjadi raja itu, segera sesudah ia duduk di atas takhtanya, ia membunuh seluruh keluarga Baesa. Tidak ada seorang laki-lakipun dari padanya yang ditinggalkannya hidup, juga kaumnya, dan teman-temannya.	Gi’ buru daddi Rato Zimri laju mate’e sakabbinna ana’ binena Rato Baesa. La’-mala’ la-balana ban ca-kanca lalake’anna kabbi tadha’ se epalopoda.
Demikianlah Zimri memunahkan seluruh keluarga Baesa, sesuai dengan firman TUHAN yang diucapkan-Nya kepada Baesa dengan perantaraan nabi Yehu,	Cocok ban apa se la edhabuwagi PANGERAN ka Baesa kalaban parantara’anna Nabbi Yehu, ana’ binena Baesa epate’e kabbi.
oleh karena segala dosa yang telah dilakukan Baesa dan Ela, anaknya, yang mengakibatkan orang Israel berdosa pula, sehingga mereka menimbulkan sakit hati TUHAN, Allah Israel, dengan dewa-dewa kesia-siaan mereka.	Baesa ban Ela, pottrana, nyemba ba-diba ban daddi lantaranna oreng Isra’il alako dusa. Daddi reng-oreng jareya andaddiyagi dukana PANGERAN, Allah se kodu esemba oreng Isra’il.
Selebihnya dari riwayat Ela dan segala yang dilakukannya, bukankah semuanya itu tertulis dalam kitab sejarah raja-raja Israel?	Caretana Ela laenna la ecathet e dhalem ketab Sajarana To-rato Isra’il.
Dalam tahun kedua puluh tujuh zaman Asa, raja Yehuda, Zimri menjadi raja. Ia memerintah tujuh hari lamanya di Tirza, sedang rakyat berkemah mengepung Gibeton yang termasuk wilayah orang Filistin.	E taon se kapeng petto lekor pamarenta’anna Rato Asa e Yehuda, Zimri jumenneng rato Isra’il ban marenta e Tirza pettong are abidda. E bakto jareya tantara Isra’il teppa’na ngeppong Gibeton, kotthana oreng Filistin.
Setelah rakyat yang berkemah itu mendengar orang mengatakan: "Zimri telah mengadakan persepakatan, dan iapun telah membunuh raja," maka pada hari itu juga, di tempat perkemahan, seluruh Israel menobatkan Omri, panglima tentara, menjadi raja atas Israel.	E bakto ngedhing ja’ Zimri akomplot ngamoso rato ban la mate’e rato jareya, e are jareya keya reng-oreng Isra’il neng e parkemahanna padha mele Omri, panglimana, epajumenneng rato Isra’il.
Kemudian Omri dengan seluruh Israel maju dari Gibeton, dan mereka mengepung Tirza.	Saellana jareya Omri ban pasukanna abali dhari Gibeton, terros entar ngeppong Tirza.
Segera sesudah Zimri melihat, bahwa kota itu telah direbut, masuklah ia ke dalam puri istana raja, lalu membakar istana raja itu sedang ia sendiri ada di dalamnya, dan ia mati,	E bakto jareya Zimri ngoladi ja’ kottha la erebbu’ bi’ Omri, daddi laju maso’ ka karatonna; karatonna jareya laju eobbar epabareng ban salerana dibi’, sampe’ seda e dhalem apoy.
oleh karena dosa-dosa yang telah dilakukannya dengan melakukan apa yang jahat di mata TUHAN serta hidup menurut tingkah laku Yerobeam dan menurut dosa Yerobeam yang mengakibatkan orang Israel berdosa pula.	Se kantha jareya kalakon lantaran Zimri alako jahat menorot pangoladanna PANGERAN. Padha ban Rato Yerobeyam, Zimri alako dusa ka PANGERAN keya ban daddi lantaranna ommat Isra’il alako dusa keya.
Selebihnya dari riwayat Zimri dan persepakatan yang diadakannya, bukankah semuanya itu tertulis dalam kitab sejarah raja-raja Israel?	Careta laenna parkara Zimri, tamaso’ komplodan pangkiyanadanna se erancana’agi, la ecathet e dhalem ketab Sajarana To-rato Isra’il.
Pada waktu itu bangsa Israel terbagi dua. Sebagian dari bangsa itu mengikuti Tibni bin Ginat, dan bermaksud mengangkat dia menjadi raja, dan sebagian lagi mengikuti Omri.	Bangsa Isra’il pecca dhuwa’ lantaran badha se terro sopaja Tibni pottrana Ginat se epajumennengnga rato, tape badha pole se terro sopaja se epajumenneng Rato Omri.
Tetapi rakyat yang mengikuti Omri lebih kuat dari pada rakyat yang mengikuti Tibni bin Ginat. Sesudah Tibni mati, maka Omri menjadi raja.	Dhi-budhina oreng se noro’ Omri mennang. Tibni seda ban Omri daddi rato.
Dalam tahun ketiga puluh satu zaman Asa, raja Yehuda, Omri menjadi raja atas Israel dan ia memerintah dua belas tahun lamanya. Di Tirza ia memerintah enam tahun lamanya.	Jareya kalakon e taon se kapeng tello polo settong pamarenta’anna Asa e Yehuda. Omri daddi rato se marenta Isra’il dhubellas taon abidda. Dhari dha’-adha’na sampe’ nem taon abidda marenta e Tirza.
Kemudian ia membeli gunung Samaria dari pada Semer dengan dua talenta perak. Ia mendirikan suatu kota di gunung itu dan menamainya Samaria, menurut nama Semer, pemilik gunung itu.	Tape saellana jareya laju mondhut gunong argana nem ebu pesse salaka dhari oreng se anyama Semer. Omri laju maddek kottha e gunong jareya, se laju e nyamae Samaria, ngala’ nyamana Semer, oreng se andhi’ gunong jareya.
Omri melakukan apa yang jahat di mata TUHAN dan ia melakukan kejahatan lebih dari pada segala orang yang mendahuluinya.	Omri agabay dusa se araja’an dhari se elampa’agi to-rato se marenta sabellunna.
Ia hidup menurut segala tingkah laku Yerobeam bin Nebat dan menurut dosa Yerobeam yang mengakibatkan orang Israel berdosa pula, sehingga mereka menimbulkan sakit hati TUHAN, Allah Israel, dengan dewa-dewa kesia-siaan mereka.	Akantha Yerobeyam, Omri agabay dusa ban daddi lantaranna oreng Isra’il alako dusa keya ban nyemba diba. Daddi jareya maduka PANGERAN, Allah se kodu esemba oreng Isra’il.
Selebihnya dari riwayat Omri, apa yang dilakukannya dan kepahlawanannya, bukankah semuanya itu tertulis dalam kitab sejarah raja-raja Israel?	Careta laenna parkara Rato Omri ban sabarang se elampa’agi la ecathet e dhalem ketab Sajarana To-rato Isra’il.
Kemudian Omri mendapat perhentian bersama-sama dengan nenek moyangnya, dan ia dikuburkan di Samaria. Maka Ahab, anaknya, menjadi raja menggantikan dia.	Saellana jareya Omri seda ban esareyagi e Samaria, sarta laju egante pottrana se anyama Ahab.
Ahab, anak Omri, menjadi raja atas Israel dalam tahun ketiga puluh delapan zaman Asa, raja Yehuda. Dan Ahab bin Omri memerintah dua puluh dua tahun lamanya atas Israel di Samaria.	E taon se kapeng tello polo ballu’ pamarenta’anna Rato Asa e Yehuda, Ahab, pottrana Omri jumenneng rato Isra’il sarta marenta e Samaria dhu lekor taon abidda.
Ahab bin Omri melakukan apa yang jahat di mata TUHAN lebih dari pada semua orang yang mendahuluinya.	Etembang to-rato se marenta sabellunna, Rato Ahab jareya e dhalem pangoladanna PANGERAN dusana lebbi raja.
Seakan-akan belum cukup ia hidup dalam dosa-dosa Yerobeam bin Nebat, maka ia mengambil pula Izebel, anak Etbaal, raja orang Sidon, menjadi isterinya, sehingga ia pergi beribadah kepada Baal dan sujud menyembah kepadanya.	Dusana banne pera’ cara dusana Yerobeyam; Ahab jareya la’-mala’ araji Izebel pottrana Rato Etba’al dhari Sidon, sarta nyemba ka Ba’al.
Kemudian ia membuat mezbah untuk Baal itu di kuil Baal yang didirikannya di Samaria.	Ahab maddek kennengnganna panyemba’an ka Ba’al e Samaria, ban e dhalem kennengnganna panyemba’an jareya epobuwi mezba kaangguy diba jareya.
Sesudah itu Ahab membuat patung Asyera, dan Ahab melanjutkan bertindak demikian, sehingga ia menimbulkan sakit hati TUHAN, Allah Israel, lebih dari semua raja-raja Israel yang mendahuluinya.	Salaenna jareya Ahab abadhi keya arcana Dewi Asyera. Dusana alebbiyan dhari dusana sakabbinna to-rato se marenta sabellunna salerana. Daddi Ahab mapeggel PANGERAN, Allah se kodu esemba ommat Isra’il.
Pada zamannya itu Hiel, orang Betel, membangun kembali Yerikho. Dengan membayarkan nyawa Abiram, anaknya yang sulung, ia meletakkan dasar kota itu, dan dengan membayarkan nyawa Segub, anaknya yang bungsu, ia memasang pintu gerbangnya, sesuai dengan firman TUHAN yang diucapkan-Nya dengan perantaraan Yosua bin Nun.	E jaman pamarenta’anna Ahab jareya, kottha Yerikho epaddek pole bi’ Hiyel, oreng Betel. Tape akantha se la edhabuwagi sabellunna bi’ PANGERAN kalaban parantara’anna Yusak pottrana Nun, Hiyel kaelangan ana’na kadhuwa: se sareyang, Abiram nyamana, mate e bakto Hiyel masang dhasarra kottha Yerikho, ban Segub, ana’ bungsona, mate e bakto Hiyel masang bang-labangnga kottha jareya.
Dalam tahun kedelapan belas zaman raja Yerobeam bin Nebat menjadi rajalah Abiam atas Yehuda.	E taon se kapeng ballu bellas e dhalem pamarenta’anna Rato Yerobeyam e Isra’il, Abiyam jumenneng rato Yehuda
Tiga tahun lamanya ia memerintah di Yerusalem. Nama ibunya ialah Maakha, anak Abisalom.	ban marenta tello taon abidda e Yerusalim. Ebuna iya areya Ma’akha, pottrana Abisalom.
Abiam hidup dalam segala dosa yang telah dilakukan ayahnya sebelumnya, dan ia tidak dengan sepenuh hati berpaut kepada TUHAN, Allahnya, seperti Daud, moyangnya.	Abiyam agabay dusa akantha ramana, ta’ esto onggu ka PANGERAN, Guste Allahna, banneyan ban Daud, juju’na.
Tetapi oleh karena Daud maka TUHAN, Allahnya, memberikan keturunan kepadanya di Yerusalem dengan mengangkat anaknya menggantikan dia dan dengan membiarkan Yerusalem berdiri,	Tape, demi Rato Daud, PANGERAN, Allah se esemba Daud, marenge Abiyam pottra lalake’ se aganteya salerana marenta e Yerusalim ban ajaga sopaja kottha jareya ta’ sampe’a gaggar ka moso.
karena Daud telah melakukan apa yang benar di mata TUHAN dan tidak menyimpang dari segala yang diperintahkan-Nya kepadanya seumur hidupnya, kecuali dalam perkara Uria, orang Het itu.	PANGERAN alampa’agi se kantha jareya polana Daud masenneng panggaliyanna, ban ta’ tao ngenthengngagi papakonna, kajabana e dhalem parkarana Uriya oreng Het rowa.
Dan ada perang antara Rehabeam dan Yerobeam, seumur hidupnya.	Perrang e antarana Rehabeyam ban Yerobeyam se emolae e jamanna Rehabeyam gi’ terros ta’ endha’ ambu saabidda jaman pamarenta’anna Abiyam.
Selebihnya dari riwayat Abiam dan segala yang dilakukannya, bukankah semuanya itu tertulis dalam kitab sejarah raja-raja Yehuda? Dan ada perang antara Abiam dan Yerobeam.	Careta laenna parkara Abiyam la ecathet e dhalem ketab Sajarana To-rato Yehuda.
Kemudian Abiam mendapat perhentian bersama-sama dengan nenek moyangnya, dan ia dikuburkan di kota Daud. Maka Asa, anaknya, menjadi raja menggantikan dia.	Abiyam seda ban esareyagi e Kottha Daud, ban egante pottrana se anyama Asa.
Dalam tahun kedua puluh zaman Yerobeam, raja Israel, Asa menjadi raja atas Yehuda.	E taon se kapeng dhu polo e jaman pamarenta’anna Rato Yerobeyam e Isra’il, Asa jumeneng rato Yehuda.
Empat puluh satu tahun lamanya ia memerintah di Yerusalem. Nama neneknya yang perempuan ialah Maakha, anak Abisalom.	Se marenta abidda pa’ polo settong taon e Yerusalim. Agung bine’na iya areya Ma’akha, pottrana Abisalom.
Asa melakukan apa yang benar di mata TUHAN seperti Daud, bapa leluhurnya.	Padha ban Daud, bangatowana, Asa masenneng panggaliyanna PANGERAN.
Ia menyingkirkan pelacuran bakti dari negeri itu dan menjauhkan segala berhala yang dibuat oleh nenek moyangnya.	Del-sondellan se atugas e kennengnganna panyemba’an ka diba e man-dhimman epanyengla kabbi, ban la-brahala se ekagabay bi’ to-rato se marenta sabellunna epamosna kabbi dhari saantero nagara.
Bahkan ia memecat Maakha, neneknya, dari pangkat ibu suri, karena neneknya itu membuat patung Asyera yang keji. Asa merobohkan patung yang keji itu dan membakarnya di lembah Kidron.	Agung bine’na, Ma’akha, epaambu daddi rato ebu, sabab agabay arcana brahala se messom kaangguy Asyera, dewina kalandhuwan Asa magujur brahala jareya, pas eobbar e Cora Kidron.
Sekalipun bukit-bukit pengorbanan tidak dijauhkan, namun Asa berpaut kepada TUHAN dengan segenap hatinya sepanjang umurnya.	Maske ta’ sakabbinna kennengnganna panyemba’anna brahala epaancor bi’ Asa, tape salerana teptep esto ka PANGERAN saomorra.
Ia membawa persembahan-persembahan kudus ayahnya dan persembahan-persembahan kudusnya sendiri ke rumah TUHAN, yakni emas dan perak serta barang-barang lain.	Emmas ban salaka se eatorragi ramana ka PANGERAN, ebakta kabbi ka Padalemman Socce, bariya keya emmas ban salaka tor-atorra dibi’.
Dan ada perang antara Asa dan Baesa, raja Israel, sepanjang umur mereka.	Rato Asa dhari Yehuda ban Rato Baesa dhari Isra’il ros-terrosan aperrang saabidda se kadhuwa jareya padha neggu’ kakobasa’an.
Baesa, raja Israel, maju berperang melawan Yehuda, dan ia memperkuat Rama, dengan maksud mencegah lalu lintas kepada Asa, raja Yehuda.	Baesa nyerrang Yehuda ban makoko kottha Rama kaangguy notop jalan kalowar maso’na Yehuda.
Tetapi Asa mengambil segala emas dan perak yang masih tinggal dalam perbendaharaan rumah TUHAN dan dalam perbendaharaan rumah raja dan menyerahkannya kepada pegawainya. Kemudian raja Asa mengutus mereka kepada Benhadad bin Tabrimon bin Hezion, raja Aram yang diam di Damsyik, dengan membawa pesan:	Daddi Rato Asa laju mondhut sakabbinna emmas ban salaka se gi’ badha e Padalemman Socce ban karaton pas ekeremmagi ka Damsyik ka Benhadad rato Siria, pottrana Tabrimon, iya areya bajana Heziyon. Rang-barang jareya epakon aterragi ka om-kaom oreng agung karaton, etoro’e pessen kantha reya,
"Ada perjanjian antara aku dan engkau, antara ayahku dan ayahmu. Di sini kukirim kepadamu suatu bingkisan, yakni emas dan perak. Marilah, batalkanlah perjanjianmu dengan Baesa, raja Israel, supaya ia undur dari padaku."	"Ngereng sampeyan sareng kaula padha akanca akadi oreng towana sampeyan sareng oreng towa kaula gi’ dhimen. Kaula ngeremmagi emmas sareng salaka menangka tor-ator. Kaula ngarep sampeyan kasokana mapegga’ hubungan sareng Baesa rato Isra’il, sopaja rato Isra’il ka’issa’ narega tantarana dhari dhaera kakobasa’an kaula."
Lalu Benhadad mendengarkan permintaan raja Asa; ia menyuruh panglima-panglimanya menyerang kota-kota Israel dan ia mengalahkan Iyon, Dan, Abel-Bet-Maakha dan seluruh Kinerot serta seluruh tanah Naftali.	Benhadad narema pangajagga Asa jareya laju makon ra-parwirana ban tantarana alorok tha-kottha Isra’il. Reng-oreng jareya makala Iyon, Dan, Abel-Bet-Ma’akha ban Kinerot e seddi’na Talaga Galilea sarta saantero baba Naftali.
Segera sesudah Baesa mendengar hal itu, ia berhenti memperkuat Rama dan ia menetap di Tirza.	E bakto Baesa meyarsa parkara jareya, laju ambu se makoko kottha Rama pas meyos ka Tirza ban kaangguy sabatara bakto ta’ aperrang pole.
Tetapi raja Asa mengerahkan segenap orang Yehuda, seorangpun tiada yang terkecuali; mereka harus mengangkat batu dan kayu yang dipergunakan Baesa untuk memperkuat Rama. Raja Asa mempergunakannya untuk memperkuat Geba-Benyamin dan Mizpa.	Saellana jareya, reng-oreng sanagara Yehuda ta’ kalaban ele-pele, bi’ Rato Asa epakon ngangko’ bato ban kaju se bi’ Rato Baesa eangguy makoko kottha jareya. Bato ban kaju jareya bi’ Asa eangguy makoko kottha Mizpa ban Geba, iya areya settong kottha e baba Benyamin.
Selebihnya dari seluruh riwayat Asa dan segala kepahlawanannya dan segala yang dilakukannya dan kota-kota yang diperkuatnya, bukankah semuanya itu tertulis dalam kitab sejarah raja-raja Yehuda? Tetapi pada masa tuanya ia menderita sakit pada kedua kakinya.	Careta laenna parkara Rato Asa, iya areya kapahlawananna ban tha-kottha se epakoko, la ecathet e dhalem ketab Sajarana To-rato Yehuda. E bakto towana Asa nyandhang panyaket e padana dhu kalaja.
Kemudian Asa mendapat perhentian bersama-sama dengan nenek moyangnya, dan ia dikuburkan di samping nenek moyangnya di kota Daud, bapa leluhurnya. Maka Yosafat, anaknya, menjadi raja menggantikan dia.	Saellana seda, laju esareyagi e pasareyanna to-rato e Kottha Daud; Yosafat, pottrana epagante, daddi rato.
Nadab, anak Yerobeam, menjadi raja atas Israel dalam tahun kedua zaman Asa, raja Yehuda. Ia memerintah atas Israel dua tahun lamanya.	E taon se kapeng dhuwa’ e dhalem pamarenta’anna Rato Asa e Yehuda, Nadab pottrana Yerobeyam jumenneng rato e Isra’il ban marenta sampe’ dhu taon abidda.
Ia melakukan apa yang jahat di mata TUHAN, serta hidup menurut tingkah laku ayahnya dan menurut dosa ayahnya, yang mengakibatkan orang Israel berdosa pula.	Nadab jareya padha ban ramana se marenta sabellunna, iya areya agabay dusa ka PANGERAN ban daddi lantaranna oreng Isra’il alako dusa keya.
Dan Baesa bin Ahia, dari kaum Isakhar, mengadakan persepakatan melawan dia. Baesa menewaskan dia di Gibeton yang termasuk wilayah orang Filistin, sedang Nadab dan seluruh Israel mengepung Gibeton itu.	Baesa, pottrana Ahiya, dhari suku Isakhar akomplot ngamoso Nadab, Nadab laju epate’e e bakto ngeppong kottha Gibeton abareng ban pasukanna e baba Filistin.
Baesa membunuh dia dalam tahun ketiga zaman Asa, raja Yehuda, dan menjadi raja menggantikan dia.	Kadaddiyan jareya e taon se kapeng tello’ e dhalem pamarenta’anna Rato Asa e Yehuda. Daddi Baesa laju jumenneng rato Isra’il agante Nadab.
Segera sesudah ia menjadi raja, ia membunuh seluruh keluarga Yerobeam; tidak ada yang bernafas yang ditinggalkannya hidup dari pada Yerobeam, sampai dipunahkannya semuanya, sesuai dengan firman TUHAN yang diucapkan-Nya dengan perantaraan hamba-Nya Ahia, orang Silo itu,	Ta’ saapa abidda saellana daddi rato, Baesa laju mate’e sakabbinna balana Yerobeyam. Menorot apa se la edhabuwagi PANGERAN kalaban parantara’anna abdina, Nabbi Ahiya dhari Silo, la-balana Yerobeyam epate’e kabbi, tadha’ settong se ceccera.
oleh karena dosa-dosa yang telah dilakukan Yerobeam, yang mengakibatkan orang Israel berdosa pula, oleh sebab sakit hati yang ditimbulkannya pada TUHAN, Allah Israel.	Yerobeyam la agabay dusa ban daddi lantaranna oreng Isra’il noro’ alako dusa keya. Kalaban cara se kantha jareya Yerobeyam maduka PANGERAN, Allah se esemba oreng Isra’il.
Selebihnya dari riwayat Nadab dan segala yang dilakukannya, bukankah semuanya itu tertulis dalam kitab sejarah raja-raja Israel?	Careta laenna parkara Nadab la ecathet e dhalem ketab Sajarana To-rato Isra’il.
Dan ada perang antara Asa dan Baesa, raja Israel, sepanjang umur mereka.	Saabidda pamarenta’anna Rato Baesa e Isra’il, ros-terrosan badha perrang e antarana Baesa ban Rato Asa dhari Yehuda.
Dalam tahun ketiga zaman Asa, raja Yehuda, Baesa bin Ahia menjadi raja atas seluruh Israel di Tirza. Ia memerintah dua puluh empat tahun lamanya.	E taon se kapeng tello’ e dhalem pamarenta’anna Rato Asa e Yehuda, Baesa pottrana Ahiya jumenneng rato marenta saantero Isra’il. Rato Baesa marenta e Tirza pa’ lekor taon abidda.
Ia melakukan apa yang jahat di mata TUHAN serta hidup menurut tingkah laku Yerobeam dan menurut dosanya yang mengakibatkan orang Israel berdosa pula.	Akantha ramana se marenta sabellunna, Rato Baesa alako dusa keya ka PANGERAN sarta daddi lantaranna oreng Isra’il alako dusa keya.
Pada waktu itu Abia, anak Yerobeam, jatuh sakit.	E bakto jareya pottra lake’na Yerobeyam se anyama Abiya nganglo.
Lalu Yerobeam berkata kepada isterinya: "Berkemaslah! Menyamarlah, supaya jangan diketahui orang, bahwa engkau isteri Yerobeam, dan pergilah ke Silo. Bukankah di sana tinggal nabi Ahia! Dialah yang telah mengatakan tentang aku, bahwa aku akan menjadi raja atas bangsa ini.	Dhabuna Yerobeyam ka rajina, "Kassa’ ba’na entar ka Silo ka compo’na Nabbi Ahiya se sabbanna adhabu ja’ sengko’ reya daddiya rato Isra’il. Tape ba’na nyamar me’ olle tadha’ oreng se tao sapa ba’na se sabendherra.
Bawalah sepuluh roti, kue kismis, dan sebuli-buli air madu, dan pergilah kepadanya. Dia akan memberitahukan kepadamu, apa yang akan terjadi dengan anak ini."	Ngeba’agi le-olle roti sapolo meggi’, jajan sakone’ ban maddu sabutol. Tanya’agi ba’ baramma’a daddina tang ana’ reya. Bi’ nabbi jareya ba’na tanto ebalai."
Isteri Yerobeam berbuat demikian. Ia berkemas, pergi ke Silo dan masuk ke rumah Ahia. Ahia tidak dapat melihat lagi, sebab matanya sudah kabur karena ia sudah tua.	Daddi rajina Yerobeyam laju mangkat ka compo’na Nabbi Ahiya e Silo. Nabbi jareya la ta’ ngoladi polana la ce’ seppona.
