Pada mulanya Allah menciptakan langit dan bumi.	E bakto Allah nyepta’agi alam dunnya,
Dan Abraham berkata kepada Allah: "Ah, sekiranya Ismael diperkenankan hidup di hadapan-Mu!"	Ibrahim mator ka Allah, "Kadi ponapa manabi Isma’il saos se epadaddi ahli waris abdidalem?"
Tetapi Allah berfirman: "Tidak, melainkan isterimu Saralah yang akan melahirkan anak laki-laki bagimu, dan engkau akan menamai dia Ishak, dan Aku akan mengadakan perjanjian-Ku dengan dia menjadi perjanjian yang kekal untuk keturunannya.	Tape Allah adhabu, "Enja’. Sara binena ba’na jareya bakal ngandhunga ban rembi’a lalake’. Kana’ jareya nyamae Ishak. Sengko’ mabadha’a parjanjiyan se langgeng ban kana’ jareya sarta ban na’ potona.
Tentang Ismael, Aku telah mendengarkan permintaanmu; ia akan Kuberkati, Kubuat beranak cucu dan sangat banyak; ia akan memperanakkan dua belas raja, dan Aku akan membuatnya menjadi bangsa yang besar.	Tape parnyo’onanna ba’na parkara Isma’il bi’ Sengko’ ekabbulana keya. Daddi bi’ Sengko’ Isma’il eberkadana ban eberri’ana na’ poto sabannya’na. Isma’il jareya bakal daddiya bangatowana dhubellas suku, ban na’ potona bi’ Sengko’ epadaddiya bangsa se raja.
Tetapi perjanjian-Ku akan Kuadakan dengan Ishak, yang akan dilahirkan Sara bagimu tahun yang akan datang pada waktu seperti ini juga."	Tape Sengko’ neptebbana Tang parjanjiyan ban Ishak, ana’na ba’na se elahirragiya Sara, taon dhateng, ra-kera baja teya."
Setelah selesai berfirman kepada Abraham, naiklah Allah meninggalkan Abraham.	Saellana mare se abu-dhabu ka Ibrahim, Allah laju adinggallagi Ibrahim.
Setelah itu Abraham memanggil Ismael, anaknya, dan semua orang yang lahir di rumahnya, juga semua orang yang dibelinya dengan uang, yakni setiap laki-laki dari isi rumahnya, lalu ia mengerat kulit khatan mereka pada hari itu juga, seperti yang telah difirmankan Allah kepadanya.	Saellana jareya Ibrahim alampa’agi dhabuna Allah. Pottrana, Isma’il, esonnat; bariya keya lalake’an se badha e compo’na, tamaso’ sakabbinna oreng se lahir e compo’na, ban nor-dunorra se ollena mondhut.
Abraham berumur sembilan puluh sembilan tahun ketika dikerat kulit khatannya.	E bakto asonnat, yuswana Ibrahim sangang polo sanga’ taon,
Dan Ismael, anaknya, berumur tiga belas tahun ketika dikerat kulit khatannya.	dineng Isma’il omorra tello bellas taon.
Pada hari itu juga Abraham dan Ismael, anaknya, disunat.	Ibrahim ban pottrana asonnat e dhalem settong are.
Dan semua orang dari isi rumah Abraham, baik yang lahir di rumahnya, maupun yang dibeli dengan uang dari orang asing, disunat bersama-sama dengan dia.	Bariya keya nor-dunorra
Kemudian TUHAN menampakkan diri kepada Abraham dekat pohon tarbantin di Mamre, sedang ia duduk di pintu kemahnya waktu hari panas terik.	Saellana jareya PANGERAN ngaton ka Ibrahim e seddi’anna ka’-bungka’an se karamat andhi’na Mamre. E bakto jareya are ce’ panassa, Ibrahim teppa’na agi-lenggi e adha’na labangnga kemahna.
Ketika ia mengangkat mukanya, ia melihat tiga orang berdiri di depannya. Sesudah dilihatnya mereka, ia berlari dari pintu kemahnya menyongsong mereka, lalu sujudlah ia sampai ke tanah,	E bakto adhanga, Ibrahim ngoladi badha oreng katello ngadek e jadhiya. Ibrahim laju ngadek pas ngendhing nyander ka reng-oreng jareya. Sambi asojud
Serta berkata: "Tuanku, jika aku telah mendapat kasih tuanku, janganlah kiranya lampaui hambamu ini.	Ibrahim mator, "Guste, ngereng padha eatorana lenggi ka kemah abdidalem; junandalem padha eladinana sareng abdidalem.
Biarlah diambil air sedikit, basuhlah kakimu dan duduklah beristirahat di bawah pohon ini;	Ngereng sareng abdidalem engala’agiya aeng sopaja junandalem padha kengenga abacco. Ngereng bu-ambu lesso e babana kajuwan ka’dhinto.
biarlah kuambil sepotong roti, supaya tuan-tuan segar kembali; kemudian bolehlah tuan-tuan meneruskan perjalanannya; sebab tuan-tuan telah datang ke tempat hambamu ini." Jawab mereka: "Perbuatlah seperti yang kaukatakan itu."	Sareng abdidalem junandalem eatorana dha’ar sakadarra, sopaja junandalem padha’a cengngar pole, kaangguy nerrossagi parjalanan. Manabi junandalem alenggi ka kemah abdidalem, ka’dhinto padha sareng manabi junandalem apareng kahormadan ka abdidalem. Daddi ngereng ja’ nolak, eatorana lenggi." Dhabuna se katello jareya, "Iya, mara, sengko’ nyepperra. Apa se ekakarep ba’na, la mara, lakone."
Lalu Abraham segera pergi ke kemah mendapatkan Sara serta berkata: "Segeralah! Ambil tiga sukat tepung yang terbaik! Remaslah itu dan buatlah roti bundar!"	Ibrahim dhing-ngendhing maso’ ka dhalem kemahna, pas adhabu ka Sara, "Mara duliyan ngala’ teppong se paleng bagus tello taker, kagabay roti."
Lalu berlarilah Abraham kepada lembu sapinya, ia mengambil seekor anak lembu yang empuk dan baik dagingnya dan memberikannya kepada seorang bujangnya, lalu orang ini segera mengolahnya.	Saellana jareya Ibrahim berka’ ka kennengnganna ebinna, pas mondhut budhu’na sape se lempo ban alpo’ dagingnga. Budhu’na sape jareya eparengngagi ka kabulana, epakon sambelli terros eola.
Kemudian diambilnya dadih dan susu serta anak lembu yang telah diolah itu, lalu dihidangkannya di depan orang-orang itu; dan ia berdiri di dekat mereka di bawah pohon itu, sedang mereka makan.	Ibrahim laju mondhut susu, ceng-keccengnga susu ban daging gella’, laju eatorragi ka tamoyya. Tamoy se katello jareya adha’ar, eladine Ibrahim dibi’ e baba’anna kajuwan gella’.
Lalu kata mereka kepadanya: "Di manakah Sara, isterimu?" Jawabnya: "Di sana, di dalam kemah."	Saellana jareya tamoy se katello gella’ adhabu, "Badha e dhimma Sara, binena ba’na?" "Badha e dhalem kemah," atorra Ibrahim.
Dan firman-Nya: "Sesungguhnya Aku akan kembali tahun depan mendapatkan engkau, pada waktu itulah Sara, isterimu, akan mempunyai seorang anak laki-laki." Dan Sara mendengarkan pada pintu kemah yang di belakang-Nya.	Sala settonga tamoy se katello jareya adhabu, "Sangang bulan aggi’ Sengko’ dha’ enna’a pole. E bakto jareya Sara bakal andhi’a ana’ lalake’." E bakto jareya Sara meyarsa’agi dhari budhina labangnga kemah se badha e budhiyanna tamoy jareya.
Adapun Abraham dan Sara telah tua dan lanjut umurnya dan Sara telah mati haid.	Ibrahim ban Sara jareya la ce’ seppona, ban Sara la ambu se dhateng kotorra.
Jadi tertawalah Sara dalam hatinya, katanya: "Akan berahikah aku, setelah aku sudah layu, sedangkan tuanku sudah tua?"	Daddi Sara agella’ e dhalem atena, sambi apekker, "Sengko’ la towa ban kero’, dhu dhimma se gi’ bisa’a terro apolonga tedhung ban tang lake? Apa pole tang lake la seppo keya."
Lalu berfirmanlah TUHAN kepada Abraham: "Mengapakah Sara tertawa dan berkata: Sungguhkah aku akan melahirkan anak, sedangkan aku telah tua?	PANGERAN adhabu ka Ibrahim, "Arapa Sara me’ agella’ ban ta’ parcaja ja’ aba’na gi’ bisa andhi’ ana’ maske omorra la towa?
Adakah sesuatu apapun yang mustahil untuk TUHAN? Pada waktu yang telah ditetapkan itu, tahun depan, Aku akan kembali mendapatkan engkau, pada waktu itulah Sara mempunyai seorang anak laki-laki."	Apa badha barang se mohal monggu ka PANGERAN? Sengko’ la ngoca’, sangang bulan aggi’ Sengko’ dha’ enna’a pole, e bakto jareya Sara bakal andhi’a ana’ lalake’."
Lalu Sara menyangkal, katanya: "Aku tidak tertawa," sebab ia takut; tetapi TUHAN berfirman: "Tidak, memang engkau tertawa!"	Sara tako’, daddi ta’ ngako, atorra, "Abdidalem ta’ agella’." Tape PANGERAN adhabu, "Enja’, ba’na gella’ pajat agella’."
Lalu berangkatlah orang-orang itu dari situ dan memandang ke arah Sodom; dan Abraham berjalan bersama-sama dengan mereka untuk mengantarkan mereka.	Saellana jareya tamoy se katello gella’ gubar. Bi’ Ibrahim eaterragi sampe’ gan settong kennengngan. Dhari kennengngan jareya tamoy se katello buru ngoladi ka Sodom.
Berpikirlah TUHAN: "Apakah Aku akan menyembunyikan kepada Abraham apa yang hendak Kulakukan ini?	Ca’na dhabuna PANGERAN e dhalem panggaliyanna, "Apa se ejalannagiya Sengko’ reya ta’ eroseya’agiya ka Ibrahim!
Bukankah sesungguhnya Abraham akan menjadi bangsa yang besar serta berkuasa, dan oleh dia segala bangsa di atas bumi akan mendapat berkat?	Na’ potona gu ta’ bakal daddiya bangsa raja tor kobasa? Lantaran Ibrahim sakabbinna bangsa e bume reya bi’ Sengko’ eberkadana.
Sebab Aku telah memilih dia, supaya diperintahkannya kepada anak-anaknya dan kepada keturunannya supaya tetap hidup menurut jalan yang ditunjukkan TUHAN, dengan melakukan kebenaran dan keadilan, dan supaya TUHAN memenuhi kepada Abraham apa yang dijanjikan-Nya kepadanya."	Sengko’ la mele Ibrahim epanyorowa na’-ana’na ban na’ potona sopaja ta’ada ka Sengko’ ban ngalakone sabarang se bendher ban adil, sopaja Sengko’ neptebbana sakabbinna Tang janji ka Ibrahim rowa."
Sesudah itu berfirmanlah TUHAN: "Sesungguhnya banyak keluh kesah orang tentang Sodom dan Gomora dan sesungguhnya sangat berat dosanya.	PANGERAN laju adhabu ka Ibrahim, "Ce’ bannya’na serrona oreng parkara Sodom ban Gomora, ban dusana talebat berra’na.
Baiklah Aku turun untuk melihat, apakah benar-benar mereka telah berkelakuan seperti keluh kesah orang yang telah sampai kepada-Ku atau tidak; Aku hendak mengetahuinya."	Daddi Sengko’ torona dha’ essa’, mareksa’a, apa se ekaedhing Sengko’ jareya bendher apa enja’."
Lalu berpalinglah orang-orang itu dari situ dan berjalan ke Sodom, tetapi Abraham masih tetap berdiri di hadapan TUHAN.	Tamoyya se kadhuwa terros meyos ka Sodom, tape PANGERAN paggun badha e seddi’na Ibrahim.
Abraham datang mendekat dan berkata: "Apakah Engkau akan melenyapkan orang benar bersama-sama dengan orang fasik?	Ibrahim nyemma’e PANGERAN, laju mator, "Ponapa sareng Junandalem reng-oreng se ta’ sala badhi epateyana epasarengnga reng-oreng se sala?
Bagaimana sekiranya ada lima puluh orang benar dalam kota itu? Apakah Engkau akan melenyapkan tempat itu dan tidakkah Engkau mengampuninya karena kelima puluh orang benar yang ada di dalamnya itu?	Manabi e kottha ka’dhissa’ badha oreng se sae saeket oreng, ponapa kottha ka’dhissa’ sareng Junandalem paggun epaancora? Ponapa sareng Junandalem ta’ eparengngana sapora sopaja se saeket oreng salamedda?
Jauhlah kiranya dari pada-Mu untuk berbuat demikian, membunuh orang benar bersama-sama dengan orang fasik, sehingga orang benar itu seolah-olah sama dengan orang fasik! Jauhlah kiranya yang demikian dari pada-Mu! Masakan Hakim segenap bumi tidak menghukum dengan adil?"	Ampon ja’ sapaneka, Guste. Sabab manabi sapaneka reng-oreng se ta’ sala tanoro’ eokom epasareng reng-oreng se sala. Ka’dhinto barang se mohal. Kadi ponapa hakimma dunnya me’ aparenga potosan se ta’ adil?"
TUHAN berfirman: "Jika Kudapati lima puluh orang benar dalam kota Sodom, Aku akan mengampuni seluruh tempat itu karena mereka."	Dhabuna PANGERAN, "Mon e Sodom badha oreng saeket se ta’ sala, kottha jareya bi’ Sengko’ esapora’a kabbi lantaran oreng se saeket jareya."
Abraham menyahut: "Sesungguhnya aku telah memberanikan diri berkata kepada Tuhan, walaupun aku debu dan abu.	Ibrahim mator pole, "Nyo’ona sapora abdidalem lancang mabangal nyambung pamator ka Junandalem, Guste. Abdidalem ka’dhinto namong manossa se tadha’ argana.
Sekiranya kurang lima orang dari kelima puluh orang benar itu, apakah Engkau akan memusnahkan seluruh kota itu karena yang lima itu?" Firman-Nya: "Aku tidak memusnahkannya, jika Kudapati empat puluh lima di sana."	Manabi oreng se sae namong badha pa’ polo lema’, banne saeket, ponapa kottha ka’dhissa’ sareng Junandalem epaancora namong amarga bannya’na oreng se sae korang kalema?" Dhabuna PANGERAN, "Mon badha pa’ polo lema’ oreng se teppa’ e dhissa’, kottha jareya bi’ Sengko’ ta’ epamosna’a."
Lagi Abraham melanjutkan perkataannya kepada-Nya: "Sekiranya empat puluh didapati di sana?" Firman-Nya: "Aku tidak akan berbuat demikian karena yang empat puluh itu."	Ibrahim mator pole, "Kadi ponapa manabi namong badha pa’ polo oreng?" Dhabuna PANGERAN, "Sengko’ maburunga Tang neyat jareya lantaran oreng se pa’ polo jareya."
Katanya: "Janganlah kiranya Tuhan murka, kalau aku berkata sekali lagi. Sekiranya tiga puluh didapati di sana?" Firman-Nya: "Aku tidak akan berbuat demikian, jika Kudapati tiga puluh di sana."	Ibrahim terros mator pole, "Junandalem ja’ duka, Guste, manabi abdidalem mator pole. Kadi ponapa manabi oreng se sae namong badha tello polo?" Dhabuna PANGERAN, "Mon Sengko’ nemmo tello polo oreng, Tang neyat jareya epaburunga."
Katanya: "Sesungguhnya aku telah memberanikan diri berkata kepada Tuhan. Sekiranya dua puluh didapati di sana?" Firman-Nya: "Aku tidak akan memusnahkannya karena yang dua puluh itu."	Ibrahim gi’ mator pole, "Nyo’ona sapora abdidalem, lancang mabangal materros pamator ka Junandalem, Guste. Kadi ponapa manabi se sae namong badha dhu polo oreng?" Dhabuna PANGERAN, "Sengko’ burung ta’ mamosna’a kottha jareya lantaran se dhu polo oreng jareya."
Katanya: "Janganlah kiranya Tuhan murka, kalau aku berkata lagi sekali ini saja. Sekiranya sepuluh didapati di sana?" Firman-Nya: "Aku tidak akan memusnahkannya karena yang sepuluh itu."	Dhi-budhina Ibrahim mator, "Junandalem ja’ duka, Guste. Abdidalem matora sakaleyan aggi’ saos. Kadi ponapa manabi se sae namong badha sapolo oreng?" Dhabuna PANGERAN, "Mon badha sapolo oreng, kottha jareya bi’ Sengko’ burung ta’ epaancora."
Lalu pergilah TUHAN, setelah Ia selesai berfirman kepada Abraham; dan kembalilah Abraham ke tempat tinggalnya.	Saellana mare se abu-dhabu ban Ibrahim, PANGERAN laju adinggallagi Ibrahim, ban Ibrahim laju gubar.
Kedua malaikat itu tiba di Sodom pada waktu petang. Lot sedang duduk di pintu gerbang Sodom dan ketika melihat mereka, bangunlah ia menyongsong mereka, lalu sujud dengan mukanya sampai ke tanah,	E bakto malaekat se kadhuwa gella’ napa’ ka Sodom e baja asar e are jareya, Lud teppa’na ju’-toju’ e labang sakethengnga kottha. E bakto nangale’e malaekat se kadhuwa jareya, Lud manjeng, laju nyander ka seddi’anna. Sanapa’na ka seddi’anna, Lud laju asojud,
serta berkata: "Tuan-tuan, silakanlah singgah ke rumah hambamu ini, bermalamlah di sini dan basuhlah kakimu, maka besok pagi tuan-tuan boleh melanjutkan perjalanannya." Jawab mereka: "Tidak, kami akan bermalam di tanah lapang."	pas mator, "Ngereng eatorana lenggi ka compo’, guste. Diggal abdidalem se aladinana. Junandalem abacco e compo’, pas kelem e ka’dhissa’. Lagguepon kengeng abungo gu-laggu, pas nerrossagi parjalanan." Malaekat se kadhuwa jareya adhabu, "Enja’, sakalangkong. Dina sengko’ ngenebba e lon-alon bai."
Tetapi karena ia sangat mendesak mereka, singgahlah mereka dan masuk ke dalam rumahnya, kemudian ia menyediakan hidangan bagi mereka, ia membakar roti yang tidak beragi, lalu mereka makan.	Lud ce’ maksana, daddi dhi-budhina se kadhuwa jareya nyepper ka bengkona Lud. Lud nyoro la-kabulana agabay roti se ta’ eragi’i. Saellana mare eparanta, tamoy se kadhuwa jareya laju adha’ar.
Tetapi sebelum mereka tidur, orang-orang lelaki dari kota Sodom itu, dari yang muda sampai yang tua, bahkan seluruh kota, tidak ada yang terkecuali, datang mengepung rumah itu.	Sabellunna tamoy se kadhuwa jareya maso’ asareya, reng-oreng Sodom ngeppong bengkona Lud. Sakabbinna lalake’an, towa ngodha tadha’ se ceccer padha noro’ ngeppong.
Mereka berseru kepada Lot: "Di manakah orang-orang yang datang kepadamu malam ini? Bawalah mereka keluar kepada kami, supaya kami pakai mereka."	Reng-oreng jareya aera’ ka Lud, oca’na, "Kemma tamoyya ba’na se ngenep e dhinna’ rowa? Mara duliyan pakalowar, passra’agi, ekapolonga tedhung bi’ sengko’ kabbi, ekambuliyana."
Lalu keluarlah Lot menemui mereka, ke depan pintu, tetapi pintu ditutupnya di belakangnya,	Lud kalowar, tape labangnga bengkona eparapet dhari lowar,
dan ia berkata: "Saudara-saudaraku, janganlah kiranya berbuat jahat.	pas ngoca’ ka reng-oreng Sodom jareya, oca’na, "Tan-taretan, ampon ja’ sapaneka.
Kamu tahu, aku mempunyai dua orang anak perempuan yang belum pernah dijamah laki-laki, baiklah mereka kubawa ke luar kepadamu; perbuatlah kepada mereka seperti yang kamu pandang baik; hanya jangan kamu apa-apakan orang-orang ini, sebab mereka memang datang untuk berlindung di dalam rumahku."	Kaula andhi’ ana’ babine’ kadhuwa, gi’ padha paraban. Diggal ana’ kaula ganeka bai bi’ kaula ebagiya ka sampeyan, epakadiya ponapa sareng sampeyan, kasokanna. Tape tamoy kaula ja’ le’-ole’, sabab kaula wajib ajaga kasalameddanna reng-oreng ka’issa’."
Tetapi mereka berkata: "Enyahlah!" Lagi kata mereka: "Orang ini datang ke sini sebagai orang asing dan dia mau menjadi hakim atas kita! Sekarang kami akan menganiaya engkau lebih dari pada kedua orang itu!" Lalu mereka mendesak orang itu, yaitu Lot, dengan keras, dan mereka mendekat untuk mendobrak pintu.	Tape reng-oreng jareya ngoca’ ka Lud, "Mara menggir! Ba’na reya neng e dhinna’ oreng manca, me’ nya’-bannya’ caca. Mara menggir! Mon enja’, ba’na eajara epalebbiya berra’ dhari tamoyya rowa!" Lud pas ejungka’agi. Reng-oreng jareya laju arebbu’an se narja’a labang.
Tetapi kedua orang itu mengulurkan tangannya, menarik Lot masuk ke dalam rumah, lalu menutup pintu.	Tape bi’ tamoy se kadhuwa gella’ Lud etaja’ epakadhalem. Labangnga bengkona pas ekanceng dhari dhalem.
Dan mereka membutakan mata orang-orang yang di depan pintu rumah itu, dari yang kecil sampai yang besar, sehingga percumalah orang-orang itu mencari-cari pintu.	Reng-oreng se badha e lowaranna labangnga epabuta kabbi, daddi padha ta’ nangale’e e dhimma labangnga.
Lalu kedua orang itu berkata kepada Lot: "Siapakah kaummu yang ada di sini lagi? Menantu atau anakmu laki-laki, anakmu perempuan, atau siapa saja kaummu di kota ini, bawalah mereka keluar dari tempat ini,	Tamoy se kadhuwa rowa adhabu ka Lud, "Sapa’an balana ba’na? Ana’ lalake’an ban babine’an, manto ban la-bala laenna se badha e kottha reya, ajak kabbi, giba nyengga dhari dhinna’,
sebab kami akan memusnahkan tempat ini, karena banyak keluh kesah orang tentang kota ini di hadapan TUHAN; sebab itulah TUHAN mengutus kami untuk memusnahkannya."	kottha reya bi’ sengko’ epamosna’a. PANGERAN la meyarsa serrona oreng parkara tengkana oreng kottha reya se talebat juba’na; sengko’ reya eotos dha’ enna’ epakon matompes kottha Sodom reya."
Keluarlah Lot, lalu berbicara dengan kedua bakal menantunya, yang akan kawin dengan kedua anaknya perempuan, katanya: "Bangunlah, keluarlah dari tempat ini, sebab TUHAN akan memusnahkan kota ini." Tetapi ia dipandang oleh kedua bakal menantunya itu sebagai orang yang berolok-olok saja.	Daddi Lud pas entar ka bakalla ana’ babine’na se kadhuwa, oca’na, "Mara jaga, duli nyengga dhari kottha reya, sabab kottha reya epamosna’a bi’ PANGERAN." Tape bakalla ana’na se kadhuwa jareya padha nyangka Lud pera’ agaja’.
Ketika fajar telah menyingsing, kedua malaikat itu mendesak Lot, supaya bersegera, katanya: "Bangunlah, bawalah isterimu dan kedua anakmu yang ada di sini, supaya engkau jangan mati lenyap karena kedurjanaan kota ini."	E bakto para’ seyang malaekat se kadhuwa gella’ makon Lud sopaja duliyan, dhabuna, "Mara duliyan! Giba binena ban ana’ babine’na se kadhuwa jareya, sopaja ba’na ta’ noro’a mate polana kajahadanna kottha reya."
Ketika ia berlambat-lambat, maka tangannya, tangan isteri dan tangan kedua anaknya dipegang oleh kedua orang itu, sebab TUHAN hendak mengasihani dia; lalu kedua orang itu menuntunnya ke luar kota dan melepaskannya di sana.	Lud gi’ mangmang. Tape PANGERAN neser ka Lud jareya; daddi bi’ tamoyya se kadhuwa gella’ Lud ban binena sarta ana’ babine’na se kadhuwa padha etonton egiba ka lowarra kottha jareya.
Sesudah kedua orang itu menuntun mereka sampai ke luar, berkatalah seorang: "Larilah, selamatkanlah nyawamu; janganlah menoleh ke belakang, dan janganlah berhenti di manapun juga di Lembah Yordan, larilah ke pegunungan, supaya engkau jangan mati lenyap."	Malaekat se settong adhabu, "Duli berka’ mon ba’na terro salamedda! Ja’ atole, ban ja’ ambu e Cora Yordan. Terros buru ka gunong, me’ olle ba’na ta’ mate."
Kata Lot kepada mereka: "Janganlah kiranya demikian, tuanku.	Lud mator, "Adhu, guste, ampon abdidalem sabala ka’dhinto ja’ pakon buru ka gunong.
Sungguhlah hambamu ini telah dikaruniai belas kasihan di hadapanmu, dan tuanku telah berbuat kemurahan besar kepadaku dengan memelihara hidupku, tetapi jika aku harus lari ke pegunungan, pastilah aku akan tersusul oleh bencana itu, sehingga matilah aku.	Lerres Junandalem ampon nolong abdidalem dhari babaja pate. Namong gunong ka’dhissa’ gi’ ce’ jauna, dhaggi’ abdidalem gi’ ecapo’ jugan sareng balai ka’dhinto, mate sabellunna napa’ ka ka’dhissa’.
Sungguhlah kota yang di sana itu cukup dekat kiranya untuk lari ke sana; kota itu kecil; izinkanlah kiranya aku lari ke sana. Bukankah kota itu kecil? Jika demikian, nyawaku akan terpelihara."	Mangken oladi, ka’dhissa’ badha kottha ne’-kene’, se ta’ pate jau dhari ka’dhinto. Kadi ponapa manabi abdidalem buru ka ka’issa’ saos, me’ olle salamet?"
Sahut malaikat itu kepadanya: "Baiklah, dalam hal inipun permintaanmu akan kuterima dengan baik; yakni kota yang telah kau sebut itu tidak akan kutunggangbalikkan.	Malaekat jareya adhabu, "Iya mara, parnyo’onanna ba’na jareya bi’ sengko’ ekabbulana. Kottha jarowa ta’ epatompessa.
Cepatlah, larilah ke sana, sebab aku tidak dapat berbuat apa-apa, sebelum engkau sampai ke sana." Itulah sebabnya nama kota itu disebut Zoar.	Mara duliyan, berka’! Mon ba’na gi’ ta’ dha’ essa’, sengko’ gi’ ta’ ngenneng apa-rapa." Daddi kottha jareya enyamae Zowar, artena kottha kene’.
Matahari telah terbit menyinari bumi, ketika Lot tiba di Zoar.	Are la moncar e bakto Lud napa’ ka Zowar.
Kemudian TUHAN menurunkan hujan belerang dan api atas Sodom dan Gomora, berasal dari TUHAN, dari langit;	PANGERAN laju matoron ojan balirang se rabbang ka kottha Sodom ban Gomora.
dan ditunggangbalikkan-Nyalah kota-kota itu dan Lembah Yordan dan semua penduduk kota-kota serta tumbuh-tumbuhan di tanah.	Kottha se dhadhuwa’ jareya epaancor, bariya keya sakabbinna Cora Yordan ban sakabbinna pandhudhu’na sarta sakabbinna bu-tombuwanna.
Tetapi isteri Lot, yang berjalan mengikutnya, menoleh ke belakang, lalu menjadi tiang garam.	Tape binena Lud atole, laju aoba daddi cangga dhari buja.
Ketika Abraham pagi-pagi pergi ke tempat ia berdiri di hadapan TUHAN itu,	Kalagguwanna gu-laggu Ibrahim dhing-ngendhing ka kennengnganna se ngadek e ajunanna PANGERAN ba’ari’anna.
dan memandang ke arah Sodom dan Gomora serta ke seluruh tanah Lembah Yordan, maka dilihatnyalah asap dari bumi membubung ke atas sebagai asap dari dapur peleburan.	Ibrahim nondhu’ ngoladi ka baba, ka kottha Sodom ban Gomora ban sakabbinna Cora Yordan. Ibrahim ngoladi okos dhari tana jareya, tadha’ bidana ban okossa tomang se talebat rajana.
Demikianlah pada waktu Allah memusnahkan kota-kota di Lembah Yordan dan menunggangbalikkan kota-kota kediaman Lot, maka Allah ingat kepada Abraham, lalu dikeluarkan-Nyalah Lot dari tengah-tengah tempat yang ditunggangbalikkan itu.	Tape e bakto Allah maancor tha-kottha e cora kennengnganna bengkona Lud rowa, Allah teptep emot ka Ibrahim, daddi Lud laju etolong epaburu sampe’ salamet.
Pergilah Lot dari Zoar dan ia menetap bersama-sama dengan kedua anaknya perempuan di pegunungan, sebab ia tidak berani tinggal di Zoar, maka diamlah ia dalam suatu gua beserta kedua anaknya.	Sarrena Lud tako’ se terrosa enneng e Zowar, daddi pas ngalle ka pagunongan, abareng ban ana’ bine’na se kadhuwa, pas terros enneng e dhalem guwa e jadhiya.
Kata kakaknya kepada adiknya: "Ayah kita telah tua, dan tidak ada laki-laki di negeri ini yang dapat menghampiri kita, seperti kebiasaan seluruh bumi.	Ca’na ana’na se sareyang ka ale’na, "Eppa’ la towa, ban sanagara reya tadha’ oreng lalake’ se ekenneng kalake sengko’ ban ba’na sopaja andhi’a ana’.
Marilah kita beri ayah kita minum anggur, lalu kita tidur dengan dia, supaya kita menyambung keturunan dari ayah kita."	Daddi mara eppa’ pamabu’; mon la mabu’, ba’na ban sengko’ pas tedhung ban eppa’, me’ olle sengko’ ban ba’na bisa andhi’ ana’, materros toronanna eppa’."
Pada malam itu mereka memberi ayah mereka minum anggur, lalu masuklah yang lebih tua untuk tidur dengan ayahnya; dan ayahnya itu tidak mengetahui ketika anaknya itu tidur dan ketika ia bangun.	E malem jareya eppa’na epangenom anggur sampe’ mabu’. Saellana jareya, ana’na se sareyang pas tedhung ban eppa’na, tape eppa’na ta’ apangrasa.
Keesokan harinya berkatalah kakaknya kepada adiknya: "Tadi malam aku telah tidur dengan ayah; baiklah malam ini juga kita beri dia minum anggur; masuklah engkau untuk tidur dengan dia, supaya kita menyambung keturunan dari ayah kita."	Kalagguwanna, ana’ se sareyang gella’ ngoca’ ka ale’na, "Malemma sengko’ tedhung ban eppa’; dhaggi’ lem-malem mara pamabu’ pole, pas gante ba’na tedhung ban eppa’. Daddi sengko’ ban ba’na pas padha bisa andhi’ ana’."
Demikianlah juga pada malam itu mereka memberi ayah mereka minum anggur, lalu bangunlah yang lebih muda untuk tidur dengan ayahnya; dan ayahnya itu tidak mengetahui ketika anaknya itu tidur dan ketika ia bangun.	Daddi e baja malem Lud epamabu’ pole bi’ na’-ana’na. Saellana jareya ana’na se nomer dhuwa’ pas apolong tedhung ban eppa’na, tape Lud ta’ apangrasa.
Lalu mengandunglah kedua anak Lot itu dari ayah mereka.	Kalaban cara se kantha jareya ana’na Lud se kadhuwa jareya ngandhung dhari eppa’na dibi’.
Yang lebih tua melahirkan seorang anak laki-laki, dan menamainya Moab; dialah bapa orang Moab yang sekarang.	Se sareyang rembi’ lalake’, enyamae Mo’ab. Mo’ab jareya se daddi bangatowana bangsa Mo’ab se sateya reya.
Yang lebih mudapun melahirkan seorang anak laki-laki, dan menamainya Ben-Ami; dialah bapa bani Amon yang sekarang.	Ana’na se nomer dhuwa’ rembi’ lalake’ keya, enyamae Ben-Ami, se daddi bangatowana bangsa Amon se sateya reya.
Lalu Abraham berangkat dari situ ke Tanah Negeb dan ia menetap antara Kadesh dan Syur. Ia tinggal di Gerar sebagai orang asing.	Ibrahim ngalle dhari Mamre ka bagiyan lao’na tana Kana’an, pas neptep e antarana Kades ban Syur. Ta’ saapa abidda dhari jareya, e bakto gi’ alenggi e Gerar,
Oleh karena Abraham telah mengatakan tentang Sara, isterinya: "Dia saudaraku," maka Abimelekh, raja Gerar, menyuruh mengambil Sara.	Ibrahim adhabu ja’ Sara jareya ale’na. Daddi Rato Abimelekh dhari Gerar makon oreng ngeba Sara ka salerana.
Tetapi pada waktu malam Allah datang kepada Abimelekh dalam suatu mimpi serta berfirman kepadanya: "Engkau harus mati oleh karena perempuan yang telah kauambil itu; sebab ia sudah bersuami."	E baja malem Allah ngaton ka rato jareya e dhalem sopennana, laju adhabu, "Ba’na kodu mate, sabab ba’na ngala’ binena oreng."
